"Intro to Biostatistics","541
001","","40","3.833","75.0","2.5","2.5",".","",".",".","","2.5","15.0",".","",".",".","",".","","2.5",".",".","."
"Intro to Biostats for Pop Hlth","551
001","","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Introduction to Bioinformatics","576
001","","7","3.500","14.3","57.1","14.3",".","",".","",".",".","14.3",".","",".",".","",".","",".",".",".","."
"Computn&Informatcs in Biol&Med","915
001","","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"B M I
210","Dept. Total","","94","3.829","69.1","12.8","4.3",".","",".","",".","1.1","11.7","",".",".","",".","",".","1.1",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","4","3.875","75.0","25.0",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","9","3.313","55.6","11.1","11.1",".","",".","",".","11.1",".","",".",".","",".","",".","11.1",".",".","."
"Undergraduates","","","14","3.538","64.3","14.3","7.1",".","",".","",".","7.1",".","",".",".","",".","",".","7.1",".",".","."
"Special","","","20","3.893","55.0","15.0",".",".","",".","",".",".","30.0","",".",".","",".","",".",".",".",".","."
"Graduate","","","23","3.806","56.5","13.0","8.7",".","",".","",".",".","21.7","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","","2","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","","35","3.914","85.7","11.4","2.9",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","","37","3.919","86.5","10.8","2.7",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","94","3.829","69.1","12.8","4.3",".","",".","",".","1.1","11.7","",".",".","",".","",".","1.1",".",".","."
