"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101","001","","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"101","002","","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"101","003","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","29","3.707","62.1","20.7","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"102
Beginning Class Piano","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","12","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"104
Intermediate Class Piano","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"14
Fundamentals: Single Reeds","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","13","3.269","61.5","7.7","7.7",".","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"144","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"144","103","","6","3.727","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","12","3.789","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"200","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","048","","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"200","250","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","251","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","252","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","253","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","23","3.818","65.2","26.1","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"201","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","11","3.741","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"202
Elem/Intermed Harpsichord","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"203
Elem/Intmed Organ","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","006","","8","3.667","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","062","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","24","3.865","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","6","3.786","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"221
Elem/Intmed Trombone","089","","6","3.500","66.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
