"ATMOSPHERIC & OCEANIC SCIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"","100","001","331","2.828","12.1","18.7","31.7","14.2","12.7","5.1","2.7","2.7",".",".",".",".",".",".",".","."
"","100","002","207","2.624","14.5","13.5","25.1","14.0","18.4","8.7","5.3",".",".",".",".",".",".",".",".","0.5"
"Weather and Climate","","Course Total","538","2.748","13.0","16.7","29.2","14.1","14.9","6.5","3.7","1.7",".",".",".",".",".",".",".","0.2"
"Weather and Climate","101","001","115","3.261","31.3","27.0","24.3","9.6","4.3","0.9","2.6",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","41","3.329","51.2","9.8","22.0","7.3","4.9",".","4.9",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","88","3.116","27.3","12.5","25.0","21.6","11.4",".",".","1.1",".",".",".",".",".",".",".","1.1"
"Global Chg: Atmospheric Iss","171","001","18","3.219","27.8","16.7","38.9",".",".",".","5.6","5.6",".",".",".",".",".",".",".","5.6"
"Dynamics-Atmosphere&Ocean I","310","001","21","2.952","19.0",".","38.1","38.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean I","330","001","20","2.950","25.0","15.0","25.0","15.0","15.0",".","5.0",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","8","2.857",".","25.0","37.5",".","25.0",".",".",".",".",".",".",".",".",".",".","12.5"
"Global Climate Processes","425","001","23","3.457","30.4","34.8","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab I:Frontal Cyclone","452","001","23","2.848","13.0","26.1","21.7","13.0","17.4","8.7",".",".",".",".",".",".",".",".",".","."
"Environmental Biophysics","532","001","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics I","610","001","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Atm & Ocn Physics","630","001","13","3.154","23.1","15.4","46.2",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Synoptic-Dynamic Laboratory","651","001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","698","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","029","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".",".","."
"Gen Circulatn of Atmosphere","712","001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Atmospheric Radiation","740","001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Seminar-Meteorology","900","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Dynamics","915","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar - Weather Systems","955","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","030","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","031","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","034","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","53","",".",".",".",".",".",".",".","96.2",".",".",".",".",".",".","3.8","."
