"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","81","3.654","54.3","28.4","13.6","1.2","2.5",".",".",".",".",".",".",".",".",".",".","."
"542
Veterinary Ophthalmology","001","","80","3.706","53.8","35.0","10.0","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","7","3.071","28.6","14.3","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","80","3.063","10.0","18.8","53.8","8.8","8.8",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","80","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","78","4.000","1.3",".",".",".",".",".",".","98.7",".",".",".",".",".",".",".","."
"642","001","","34","4.000","14.7",".",".",".",".",".",".","85.3",".",".",".",".",".",".",".","."
"642","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","35","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","11","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"645","001","","28","4.000","35.7",".",".",".",".",".",".","64.3",".",".",".",".",".",".",".","."
"645","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","33","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","25","4.000","36.0",".",".",".",".",".",".","64.0",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","28","3.571","21.4",".",".",".",".","3.6",".","75.0",".",".",".",".",".",".",".","."
"675","001","","9","4.000","55.6",".",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"675","003","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","31","4.000","16.1",".",".",".",".",".",".","83.9",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","23","4.000","26.1",".",".",".",".",".",".","73.9",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"748
Dentistry & Oral Surg Rotation","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"812
Rsch Ethics&Career Development","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
