"BUS","","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","201","3.032","20.4","24.4","24.9","12.9","13.4","2.5","1.5",".",".","",".",".","",".","",".","",".",".","."
"","002
200","121","2.881","10.7","22.3","24.8","22.3","13.2","3.3","0.8","1.7",".","",".",".","",".","",".","","0.8",".","."
"International Business","Course Total","322","2.976","16.8","23.6","24.8","16.5","13.4","2.8","1.2","0.6","",".",".","",".","",".","",".","0.3",".","."
"Prof Comm&Cultr in Franc World","313
001","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Intercultural Communctn in Bus","320
001","20","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Contemporary Topics","365
001","14","3.750","50.0","50.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Reading & Research-Intl Bus","399
222","108","3.955","97.2","1.9",".",".",".",".","0.9",".",".","",".",".","",".","",".","",".",".","."
"International Real Estate","430
001","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Multinational Bus Finance","445
001","5","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTL BUS
235","Dept. Total","474","3.163","40.5","18.1","17.5","11.2","9.1","1.9","1.1","0.4","",".",".","",".","",".","",".","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","53","2.913","15.1","20.8","24.5","18.9","13.2","5.7",".",".","",".",".","",".","",".","",".","1.9",".","."
"Junior","","236","3.057","41.9","16.9","17.4","9.7","9.3","2.5","2.1",".","",".",".","",".","",".","",".",".",".","."
"Senior","","172","3.380","46.5","19.2","16.3","10.5","6.4",".",".","1.2","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","461","3.163","40.6","18.2","17.8","11.1","8.7","2.0","1.1","0.4","",".",".","",".","",".","",".","0.2",".","."
"Special","","13","3.154","38.5","15.4","7.7","15.4","23.1",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","474","3.163","40.5","18.1","17.5","11.2","9.1","1.9","1.1","0.4","",".",".","",".","",".","",".","0.2",".","."
