"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","138
005","","12","3.400","50.0","16.7","8.3",".",".",".","8.3","16.7",".",".",".",".",".",".",".","."
"Golf I","Course Total","","69","3.441","30.4","21.7","14.5","2.9","2.9",".","1.4","26.1",".",".",".",".",".",".",".","."
"","140
001","","19","3.639","47.4","26.3","21.1",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","140
002","","16","3.433","25.0","31.3","37.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","35","3.545","37.1","28.6","28.6",".",".",".",".","5.7",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","","14","3.708","42.9","35.7","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Badminton I","155
001","","20","3.412","30.0","35.0","5.0","5.0","10.0",".",".","15.0",".",".",".",".",".",".",".","."
"","157
001","","19","3.500","21.1","57.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","157
002","","21","3.789","57.1","28.6","4.8",".",".",".",".",".",".",".",".",".","4.8",".","4.8","."
"","157
003","","15","3.750","46.7","26.7","6.7",".",".",".",".","13.3",".",".",".",".",".",".","6.7","."
"Topics in Fencing","Course Total","","55","3.670","41.8","38.2","10.9",".",".",".",".","3.6",".",".",".",".","1.8",".","3.6","."
"","162
001","","16","3.538","43.8","18.8","6.3","6.3","6.3",".",".","18.8",".",".",".",".",".",".",".","."
"","162
002","","16","3.542","37.5","12.5","18.8","6.3",".",".",".","25.0",".",".",".",".",".",".",".","."
"","162
003","","16","3.545","18.8","37.5","12.5",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","48","3.542","33.3","22.9","12.5","4.2","2.1",".",".","25.0",".",".",".",".",".",".",".","."
"","163
001","","18","3.875","72.2","11.1","5.6",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","163
002","","16","3.633","43.8","31.3","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","34","3.758","58.8","20.6","11.8",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"Basketball I","170
001","","23","3.850","65.2","17.4","4.3",".",".",".",".","8.7",".",".",".",".",".","4.3",".","."
"Soccer I","173
001","","20","3.906","65.0","15.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","175
001","","26","3.553","26.9","26.9","19.2",".",".",".",".","26.9",".",".",".",".",".",".",".","."
"","175
002","","26","3.853","50.0","11.5","3.8",".",".",".",".","34.6",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","52","3.694","38.5","19.2","11.5",".",".",".",".","30.8",".",".",".",".",".",".",".","."
"Softball","179
001","","21","3.900","85.7","4.8",".","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","201
001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","16","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","32","3.883","71.9","21.9",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","211
001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","","17","3.750","70.6","5.9","11.8","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","32","3.855","81.3","6.3","6.3","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"Weight Training II","232
001","","15","3.750","46.7","46.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Golf II","238
001","","13","3.542","7.7","84.6",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Power Skating","244
001","","20","3.778","60.0","20.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","262
001","","18","3.769","55.6","11.1",".",".","5.6",".",".","22.2",".",".",".",".",".","5.6",".","."
"","262
002","","17","3.531","23.5","52.9","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","35","3.638","40.0","31.4","8.6",".","2.9",".",".","14.3",".",".",".",".",".","2.9",".","."
"","275
001","","29","3.611","41.4","34.5","13.8","3.4",".",".",".","6.9",".",".",".",".",".",".",".","."
"","275
002","","21","3.750","52.4","38.1","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Volleyball II","Course Total","","50","3.670","46.0","36.0","10.0","2.0",".",".",".","6.0",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","16","3.594","50.0","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Bicycling","295
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","","10","3.938","70.0","10.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 95 of 407"
