"RELIGIOUS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","",""
"Islam Wrld:MidEast,500-1500","205","001","22","3.476","27.3","54.5","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Judaism","211","001","30","3.317","13.3","50.0","26.7","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","93","3.343","36.6","21.5","28.0","3.2","3.2",".","3.2","2.2",".",".",".",".",".",".","2.2","."
"Intro-Philos of Religion","261","001","17","3.531","29.4","41.2","23.5",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Religion-Hist&Cult:The West","271","001","53","2.991","13.2","24.5","32.1","11.3","17.0","1.9",".",".",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","105","3.470","43.8","22.9","17.1","8.6","1.9","1.9",".","3.8",".",".",".",".",".",".",".","."
"Christian Lit:Matthew-Revelatn","333","001","55","3.164","25.5","20.0","30.9","12.7","9.1","1.8",".",".",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","35","2.925","5.7","22.9","45.7","17.1","2.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"Hinduism","355","001","95","3.600","28.4","57.9","7.4","1.1",".",".",".","2.1",".",".",".",".",".","2.1",".","1.1"
"Intro to Confucianism","363","001","15","3.567","53.3","20.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","102","3.347","18.6","48.0","18.6","6.9","2.9",".","1.0","2.0",".",".",".",".",".",".","2.0","."
"Bible in the Middle Ages","368","001","7","3.214","28.6","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","14","3.556","21.4","28.6","14.3",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"Jews of Central&Eastern Europe","372","001","16","3.610","56.3","12.5","18.8","6.3",".",".",".",".",".",".",".",".",".","6.3",".","."
"The Rhetoric of Religion","374","001","28","3.268","14.3","53.6","25.0",".","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"","400","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","","Course Total","11","3.273","27.3","27.3","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Texts","448","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501","001","7","2.143","28.6",".",".","28.6","14.3",".","28.6",".",".",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","20","2.850","25.0","20.0","35.0",".","5.0",".","15.0",".",".",".",".",".",".",".",".","."
"Studies in Religions of Asia","620","001","9","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium for Majors","695","001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","","Course Total","8","3.143","37.5","25.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".","12.5","."
"Directed Study","699","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
