"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","169","3.167","21.9","29.0","23.7","14.8","7.7","2.4",".","0.6",".",".",".",".",".",".",".","."
"","301
002","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
003","30","3.867","86.7","3.3","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","301
004","26","3.538","38.5","38.5","19.2",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","251","3.372","38.6","24.7","18.7","10.4","5.6","1.6",".","0.4",".",".",".",".",".",".",".","."
"","320
001","123","3.207","26.0","30.1","16.3","15.4","8.9","0.8","0.8","1.6",".",".",".",".",".",".",".","."
"","320
002","130","3.392","36.9","30.0","19.2","5.4","7.7",".","0.8",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","253","3.303","31.6","30.0","17.8","10.3","8.3","0.4","0.8","0.8",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","99","3.337","21.2","42.4","21.2","10.1","4.0",".",".","1.0",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","506
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
001","27","3.704","48.1","44.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
002","26","3.538","69.2","7.7","7.7","7.7","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","Course Total","53","3.623","58.5","26.4","7.5","3.8","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","699
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","9","3.833","66.7",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","22.2"
"","699
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","16","3.907","81.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"Smr-Research in Ed Psych I","709
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
001","15","4.000","86.7",".",".",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"","711
002","24","3.913","79.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"","711
004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
005","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
009","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","80","3.918","83.8","11.3","1.3",".",".",".",".","1.3",".",".",".",".","1.3",".","1.3","."
"Socl, Emotionl&Behav Assessmnt","741
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","36","3.800","61.1","33.3","2.8",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"","760
002","37","3.878","81.1","13.5","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","73","3.840","71.2","23.3","4.1",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","31","3.917","80.6","16.1",".",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Intro to Learning Sciences I","795
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
