"ALS","","","","","","","","","","","","","","","","","","","","",""
"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","","",""
"MICROBIO
192","Dept. Total","1226","3.118","33.1","12.5","25.2","10.0","10.0","1.7","0.6","6.6","",".",".","",".","0.2","0.1",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","3.050","25.0","25.0","25.0",".","25.0",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","96","3.067","21.9","27.1","17.7","20.8","11.5","1.0",".",".","",".",".","",".",".",".",".",".","."
"Junior","","321","3.007","33.0","12.5","23.4","11.2","16.8","2.8","0.3",".","",".",".","",".",".",".",".",".","."
"Senior","","516","3.061","29.3","12.0","33.3","11.6","10.5","2.1","1.0","0.2","",".",".","",".",".",".",".",".","."
"Undergraduates","","937","3.043","29.8","13.8","28.3","12.4","12.8","2.2","0.6","0.1","",".",".","",".",".",".",".",".","."
"Special","","32","3.133","31.3","6.3","43.8","9.4",".",".","3.1",".","",".",".","",".",".","3.1",".",".","3.1"
"Graduate","","252","3.626","46.0","8.7","11.1","1.2","0.4",".",".","31.7","",".",".","",".","0.8",".",".",".","."
"Prof Yr 1","","3","2.667",".",".","66.7",".","33.3",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".",".",".",".","",".",".","",".","50.0",".",".",".","."
"Professionals","","5","3.000","20.0",".","40.0",".","20.0",".",".",".","",".",".","",".","20.0",".",".",".","."
"","Dept. Total","1226","3.118","33.1","12.5","25.2","10.0","10.0","1.7","0.6","6.6","",".",".","",".","0.2","0.1",".",".","0.1"
