"","990
082","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
083","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
088","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","37","",".",".",".",".",".","",".","",".","89.2","",".",".",".","8.1","",".",".","2.7","."
"M&ENVTOX
362","Dept. Total","101","3.600","13.9","3.0","3.0","1.0","1.0","",".","",".","74.3","",".",".",".","3.0","",".",".","1.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","2","3.500","50.0",".","50.0",".",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","3","2.700","33.3","33.3",".",".","33.3","",".","",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","6","3.000","33.3","33.3","16.7",".","16.7","",".","",".",".","",".",".",".",".","",".",".",".","."
"Special","","5","4.000","20.0",".",".",".",".","",".","",".","80.0","",".",".",".",".","",".",".",".","."
"Graduate","","88","3.684","11.4","1.1","2.3","1.1",".","",".","",".","79.5","",".",".",".","3.4","",".",".","1.1","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".","",".","",".","50.0","",".",".",".",".","",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".","",".","",".","50.0","",".",".",".",".","",".",".",".","."
"","Dept. Total","101","3.600","13.9","3.0","3.0","1.0","1.0","",".","",".","74.3","",".",".",".","3.0","",".",".","1.0","."
