"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","16","3.688","68.8","12.5","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","170
002","15","3.633","60.0","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","170
004","18","3.500","55.6","11.1","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","170
006","16","3.656","81.3","6.3",".",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","170
007","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","81","3.685","71.6","11.1","7.4","4.9","3.7","1.2",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","51","3.245","27.5","27.5","31.4","2.0","9.8",".","2.0",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","62","2.935","17.7","19.4","22.6","29.0","4.8","4.8","1.6",".",".",".",".",".",".",".",".","."
"","252
001","38","3.553","31.6","47.4","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","252
002","64","3.203","14.1","40.6","32.8","6.3","3.1","1.6","1.6",".",".",".",".",".",".",".",".","."
"","252
003","38","3.446","31.6","31.6","26.3","7.9",".",".",".",".",".",".",".",".",".",".","2.6","."
"Intro to Computer Engineering","Course Total","140","3.363","23.6","40.0","27.9","5.0","1.4","0.7","0.7",".",".",".",".",".",".",".","0.7","."
"","270
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","270
004","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","32","3.672","53.1","28.1","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","40","3.525","50.0","17.5","20.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","11","3.500","45.5","9.1","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330
001","25","3.060","16.0","36.0","24.0",".","20.0","4.0",".",".",".",".",".",".",".",".",".","."
"","330
002","23","2.978","13.0","26.1","26.1","13.0","21.7",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","Course Total","48","3.021","14.6","31.3","25.0","6.3","20.8","2.1",".",".",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","13","3.208","23.1","38.5","15.4",".","7.7","7.7",".",".",".",".",".",".",".",".","7.7","."
"Feedback Control Systems","332
001","23","3.159","34.8","17.4","17.4","4.3","17.4","4.3",".",".",".",".",".",".",".","4.3",".","."
"Microelectronic Devices","335
001","39","3.192","33.3","15.4","23.1","12.8","15.4",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","45","2.878","22.2","20.0","17.8","13.3","17.8","6.7","2.2",".",".",".",".",".",".",".",".","."
