"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","126","2.913","12.7","21.4","37.3","8.7","15.1","1.6","3.2",".",".",".",".",".",".",".",".","."
"","300
002","120","3.083","11.7","27.5","41.7","9.2","8.3","0.8","0.8",".",".",".",".",".",".",".",".","."
"","300
003","123","3.012","12.2","23.6","40.7","9.8","9.8","4.1",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","369","3.001","12.2","24.1","39.8","9.2","11.1","2.2","1.4",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","11","3.227","27.3","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Operations Research I","410
001","16","3.688","62.5","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","422
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Procurement & Supply Managemnt","423
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Transportation","444
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Operations Mgmt","451
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Business Logistics Analysis","640
001","24","3.250","33.3","20.8","25.0","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research I","710
001","15","3.467","40.0","26.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","732
001","35","3.529","42.9","28.6","20.0","8.6",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Transportation","744
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Tech & Organztnl Change","758
001","19","3.605","26.3","68.4","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
030","42","3.810","78.6","9.5","9.5",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","47","3.819","78.7","10.6","8.5",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Qual & Productivity Improvemnt","770
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","4","***","","","","","","","","","","","","","","","",""
"OTM
238","Dept. Total","597","3.242","28.3","24.5","29.3","7.5","7.4","1.5","0.8","0.5",".",".",".",".","0.2",".",".","."
