"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","5","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","10","3.958","90.0","10.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","16","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","31","3.988","96.8","3.2",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","3","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","90","3.375","23.3","30.0","38.9",".","",".","",".","",".","5.6","",".",".","",".","",".","",".",".",".","2.2"
"Prof Yr 4","265","3.787","60.4","20.4","4.9","1.5","",".","",".","",".","12.8","",".",".","",".","",".","",".",".",".","."
"Professionals","356","3.611","51.1","22.8","13.5","1.1","",".","",".","",".","11.0","",".",".","",".","",".","",".",".",".","0.6"
