"","990
112","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
113","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","75","",".",".",".",".",".",".",".","90.7","",".",".",".","9.3","",".",".",".","."
"Seminar in Genetics","993
001","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"GENETICS
412","Dept. Total","731","3.267","48.7","7.3","14.5","6.8","8.2","2.3","1.2","9.8","",".",".",".","1.0","",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.423","70.0",".","10.0",".","20.0",".",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","74","2.997","47.3","5.4","16.2","9.5","14.9","5.4","1.4",".","",".",".",".",".","",".",".",".","."
"Junior","","168","3.340","61.3","4.2","16.1","7.1","7.7","1.8","1.2","0.6","",".",".",".",".","",".",".",".","."
"Senior","","329","3.258","56.2","5.8","14.6","9.1","8.8","3.0","1.8","0.3","",".",".",".",".","",".",".",".","0.3"
"Undergraduates","","581","3.251","56.8","5.2","15.1","8.4","9.5","2.9","1.5","0.3","",".",".",".",".","",".",".",".","0.2"
"Special","","14","2.843","21.4",".","28.6","7.1","28.6",".",".","14.3","",".",".",".",".","",".",".",".","."
"Graduate","","133","3.496","15.8","17.3","10.5",".","0.8",".",".","50.4","",".",".",".","5.3","",".",".",".","."
"Prof Yr 1","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0","",".",".",".",".","",".",".",".","."
"Professionals","","3","4.000","66.7",".",".",".",".",".",".","33.3","",".",".",".",".","",".",".",".","."
"","Dept. Total","731","3.267","48.7","7.3","14.5","6.8","8.2","2.3","1.2","9.8","",".",".",".","1.0","",".",".",".","0.1"
