"Elementary Quechua","361
001","","2","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"First Semester Yucatec Maya","376
001","","3","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","699
001","","6","4.000","100.0",".","",".",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"LACIS
525","Dept. Total","","11","3.938","90.9","9.1","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","1","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","8","3.905","87.5","12.5","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","10","3.931","90.0","10.0","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","11","3.938","90.9","9.1","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
