"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Development of Young Child","362
001","","169","3.012","24.3","20.7","23.7","11.2","11.2","4.7","2.4","1.2",".",".",".",".",".","0.6",".","."
"Develp: Adolescence-Old Age","363
001","","169","3.320","32.5","16.0","35.5","13.0","1.2","0.6",".","1.2",".",".",".",".",".",".",".","."
"","425
001","","19","3.342","10.5","78.9","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","425
002","","17","3.706","64.7","11.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","Course Total","","36","3.514","36.1","47.2","13.9",".",".",".","2.8",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","","27","3.704","40.7","59.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","","30","3.483","46.7","43.3","3.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","474
001","","30","3.517","53.3","16.7","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","474
002","","21","3.286","52.4","9.5","14.3","9.5","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","Course Total","","51","3.422","52.9","13.7","17.6","3.9","9.8",".","2.0",".",".",".",".",".",".",".",".","."
"","501
001","","14","3.932","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
035","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","41","3.957","92.7","4.9",".","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","516
001","","28","3.821","75.0","17.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","","29","3.741","62.1","24.1","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","","28","3.196","10.7","32.1","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650
001","","27","3.712","63.0","25.9",".",".","7.4",".",".","3.7",".",".",".",".",".",".",".","."
"Adv Study of Young Child","662
001","","28","3.696","64.3","21.4","7.1","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663
002","","25","3.800","68.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr:Human Dev & Fam Studies","664
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.893","72.7","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".",".","."
"Current Iss-Family Living","766
001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Fam Pol:Affects & What Prof Do","843
001","","7","3.500","28.6","28.6","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Family Theory I (Survey)","001
865","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 141 of 407",""
