"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"","101","001","115","3.665","54.8","25.2","13.0","3.5","0.9",".",".","2.6",".",".",".",".",".",".",".","."
"","101","002","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women, Culture & Representn","","Course Total","122","3.676","55.7","25.4","12.3","3.3","0.8",".",".","2.5",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","143","3.157","30.8","25.2","21.7","7.7","9.8","0.7","4.2",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","386","3.708","61.4","23.1","10.4","3.1","0.8","0.3",".","1.0",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","16","3.219","31.3","18.8","31.3",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics - Women & Society","320","001","48","3.479","43.8","27.1","14.6","10.4","4.2",".",".",".",".",".",".",".",".",".",".","."
"Global Feminisms","325","001","39","3.192","15.4","33.3","38.5","10.3",".",".","2.6",".",".",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","27","2.981","18.5","25.9","33.3","7.4","3.7","7.4","3.7",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","40","2.888","12.5","32.5","17.5","20.0","7.5","7.5","2.5",".",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","51","3.294","7.8","43.1","49.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chicana & Latina Feminisms","425","001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","39","3.474","46.2","23.1","23.1","5.1",".",".","2.6",".",".",".",".",".",".",".",".","."
"Brazillian Women Writers","450","001","19","3.694","63.2","10.5","15.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"Psychology of Women","522","001","22","3.071","22.7","9.1","36.4","13.6","13.6",".",".",".",".",".",".",".",".",".",".","4.5"
"Spec Topics-Women & Health","533","001","45","3.911","84.4","13.3","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","19","3.658","63.2","15.8","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis I","681","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","720","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720","002","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specl Topics-Women&Society","","Course Total","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender Issues-Intl Educ Policy","805","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","","Course Total","5","***","","","","","","","","","","","","","","","",""
