"BIOCHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","","",""
"Research","Course Total","120","",".",".",".",".",".",".",".","64.2","",".",".",".","35.0","",".",".","0.8","."
"BIOCHEM
200","Dept. Total","1310","3.327","42.9","10.7","22.3","5.8","6.3","0.8","0.4","7.4","",".",".",".","3.3","",".","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","3.406","62.5",".","25.0","6.3",".",".","6.3",".","",".",".",".",".","",".",".",".","."
"Sophomore","","31","3.583","67.7",".","22.6","3.2","6.5",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","339","3.211","39.8","10.3","27.4","9.4","10.9","1.2","0.9",".","",".",".",".",".","",".",".",".","."
"Senior","","478","3.289","43.5","12.3","25.7","7.9","8.8","1.0","0.2","0.2","",".",".",".","0.2","",".",".",".","."
"Undergraduates","","864","3.269","43.3","10.9","26.3","8.3","9.4","1.0","0.6","0.1","",".",".",".","0.1","",".",".",".","."
"Special","","16","3.239","18.8","25.0","37.5","6.3","6.3",".",".","6.3","",".",".",".",".","",".",".",".","."
"Graduate","","417","3.581","43.2","9.8","13.9","0.7","0.2","0.2",".","22.1","",".",".",".","9.4","",".","0.2","0.2","."
"Prof Yr 3","","7","3.450","42.9","14.3","14.3",".",".",".",".","14.3","",".",".",".","14.3","",".",".",".","."
"Prof Yr 4","","6","4.000","33.3",".",".",".",".",".",".","33.3","",".",".",".","33.3","",".",".",".","."
"Professionals","","13","3.542","38.5","7.7","7.7",".",".",".",".","23.1","",".",".",".","23.1","",".",".",".","."
"","Dept. Total","1310","3.327","42.9","10.7","22.3","5.8","6.3","0.8","0.4","7.4","",".",".",".","3.3","",".","0.1","0.1","."
