"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","349","2.561","13.5","7.7","29.2","10.9","24.9","8.9","4.3",".",".",".",".",".",".","0.3",".","0.3"
"","101
002","318","2.450","12.3","6.0","29.9","9.7","24.5","11.9","5.7",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","667","2.508","12.9","6.9","29.5","10.3","24.7","10.3","4.9",".",".",".",".",".",".","0.1",".","0.1"
"","102
001","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","18","3.778","72.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","21","3.238","33.3","19.0","33.3","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"","102
004","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","23","3.630","47.8","30.4","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","23","3.587","47.8","21.7","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","23","3.565","52.2","13.0","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","24","3.563","37.5","41.7","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","25","3.360","40.0","24.0","24.0",".","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"","010
102","19","3.658","47.4","42.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","21","3.310","19.0","38.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","22","3.568","45.5","31.8","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
013","21","3.214","28.6","14.3","42.9","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"","102
014","26","3.615","53.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","22","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","28","3.518","28.6","50.0","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","20","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","23","3.609","47.8","34.8","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
019","15","3.533","46.7","33.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
020","20","3.550","35.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
021","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","450","3.557","45.6","28.7","20.7","3.6","0.9","0.4","0.2",".",".",".",".",".",".",".",".","."
"","001
151","144","2.958","18.8","6.9","47.2","9.7","13.9","2.8","0.7",".",".",".",".",".",".",".",".","."
"","151
002","140","2.924","23.6","7.1","38.6","6.4","16.4","6.4","0.7","0.7",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","284","2.942","21.1","7.0","43.0","8.1","15.1","4.6","0.7","0.4",".",".",".",".",".",".",".","."
"","152
001","79","2.829","10.1","12.7","45.6","8.9","19.0","1.3","2.5",".",".",".",".",".",".",".",".","."
"","002
152","98","2.861","15.3","10.2","45.9","9.2","10.2","5.1","3.1",".",".",".",".",".",".",".","1.0","."
"Introductory Biology","Course Total","177","2.847","13.0","11.3","45.8","9.0","14.1","3.4","2.8",".",".",".",".",".",".",".","0.6","."
"","153
001","22","2.886","22.7","13.6","36.4",".","13.6","13.6",".",".",".",".",".",".",".",".",".","."
"","153
002","23","2.587","17.4","13.0","17.4","8.7","30.4","8.7","4.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","45","2.733","20.0","13.3","26.7","4.4","22.2","11.1","2.2",".",".",".",".",".",".",".",".","."
"Heredity","001
160","11","2.773","36.4",".","18.2","9.1","18.2","18.2",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","28","3.482","50.0","25.0","3.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","110","3.079","35.5","1.8","36.4","2.7","18.2","1.8","1.8",".",".",".",".",".",".",".","0.9","0.9"
"","316
001","17","3.529","35.3","47.1","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","316
002","17","3.500","41.2","41.2","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","316
003","22","3.500","31.8","45.5","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","56","3.509","35.7","44.6","12.5","3.6","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360
001","214","3.801","79.0","12.1","5.1","1.4","0.9","0.9","0.5",".",".",".",".",".",".",".",".","."
"Honors Proseminar","380
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
