"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshman Topics Seminar","100","001","20","3.050","10.0","25.0","35.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","103","001","462","2.919","13.9","25.8","24.7","15.6","14.1","4.5","1.3","0.2",".",".",".",".",".",".",".","."
"","104","001","346","2.746","13.3","14.7","26.3","17.1","18.5","8.1","0.9","0.9",".",".",".",".",".","0.3",".","."
"","104","002","349","2.941","8.9","17.5","40.7","18.9","12.6","0.3","0.3","0.3",".",".",".",".",".","0.3",".","0.3"
"Intro-Amer Politcs&Governmt","","Course Total","695","2.844","11.1","16.1","33.5","18.0","15.5","4.2","0.6","0.6",".",".",".",".",".","0.3",".","0.1"
"Intro-Comparative Politics","106","001","398","3.043","12.8","31.4","26.6","18.3","7.0","2.5","1.0","0.3",".",".",".",".",".",".",".","."
"Intro to American Politics","184","001","20","3.375","30.0","25.0","40.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to State Government","205","001","87","3.086","21.8","27.6","20.7","14.9","11.5","2.3","1.1",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","197","3.405","27.9","37.6","24.9","5.6","1.5","0.5","0.5",".",".",".",".",".",".",".","1.5","."
"Law, Politics and Society","217","001","53","2.865","22.6","15.1","24.5","7.5","18.9","7.5","1.9","1.9",".",".",".",".",".",".",".","."
"Intro to East Asian Civ","222","001","34","3.397","50.0","8.8","29.4","5.9","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","57","3.204","26.3","24.6","29.8","3.5","5.3","3.5","1.8","1.8",".",".",".",".",".","3.5",".","."
"Africa: Introductory Survey","277","001","45","3.200","26.7","28.9","20.0","15.6","4.4","4.4",".",".",".",".",".",".",".",".",".","."
"Eur Union:Politics&Pol Econ","338","001","140","3.216","20.7","34.3","27.9","8.6","5.0","1.4","1.4","0.7",".",".",".",".",".",".",".","."
"African Intl Relations","362","001","47","3.096","21.3","21.3","25.5","23.4","6.4","2.1",".",".",".",".",".",".",".",".",".","."
"","401","002","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","003","25","3.220","40.0","12.0","32.0",".","8.0","8.0",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","33","3.364","45.5","18.2","24.2",".","6.1","6.1",".",".",".",".",".",".",".",".",".","."
"Constitutional Law","411","001","139","3.102","13.7","28.1","36.0","13.7","5.0","0.7","1.4","1.4",".",".",".",".",".",".",".","."
"Citiznshp, Democrcy&Difference","425","001","19","3.579","63.2","21.1",".","10.5",".","5.3",".",".",".",".",".",".",".",".",".","."
"Legislative Process","426","001","70","2.964","8.6","15.7","50.0","17.1","5.7","2.9",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
