"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","240
001","34","2.939","23.5","5.9","41.2","11.8","5.9","5.9","2.9",".",".",".",".",".",".",".","2.9","."
"","002
240","46","3.056","21.7","21.7","28.3","10.9","10.9","2.2","2.2",".",".",".",".",".",".","2.2",".","."
"Intro to Discrete Mathematics","Course Total","80","3.006","22.5","15.0","33.8","11.3","8.8","3.8","2.5",".",".",".",".",".",".","1.3","1.3","."
"Digtl Society: Comptrs&Technol","250
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","252
001","35","3.443","28.6","48.6","20.0",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"","252
002","32","3.391","31.3","28.1","31.3","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"","252
003","22","3.182","27.3","36.4","27.3",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","89","3.360","29.2","38.2","25.8","2.2","1.1",".","3.4",".",".",".",".",".",".",".",".","."
"","298
001","51","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","298
065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Comp Sci","Course Total","53","",".",".",".",".",".",".",".",".",".","98.1",".",".",".","1.9",".","."
"","302
001","82","2.877","29.3","8.5","22.0","11.0","22.0",".","6.1","1.2",".",".",".",".",".",".",".","."
"","302
002","128","3.008","33.6","12.5","19.5","12.5","14.8","3.1","3.9",".",".",".",".",".",".",".",".","."
"","302
003","19","2.895","21.1","15.8","26.3","15.8","10.5","10.5",".",".",".",".",".",".",".",".",".","."
"","302
004","18","3.250","55.6","5.6","11.1","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","302
005","19","2.974","26.3","15.8","15.8","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"","006
302","21","3.125","28.6","14.3","19.0","19.0","14.3",".",".","4.8",".",".",".",".",".",".",".","."
"","302
007","24","2.957","29.2","4.2","20.8","20.8","16.7","4.2",".","4.2",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","311","2.982","31.8","10.9","19.9","13.8","16.4","2.6","3.5","1.0",".",".",".",".",".",".",".","."
"Prob Solvng Using Computers","310
001","155","3.187","27.1","12.9","40.0","15.5","2.6","1.3","0.6",".",".",".",".",".",".",".",".","."
"","352
001","36","3.071","30.6","16.7","19.4","13.9","8.3","8.3",".",".",".",".",".",".",".",".",".","2.8"
"","352
002","9","3.333","22.2","44.4","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","45","3.125","28.9","22.2","17.8","15.6","6.7","6.7",".",".",".",".",".",".",".",".",".","2.2"
"Machine Organizatn&Progrmng","354
001","75","2.952","16.0","20.0","29.3","18.7","8.0","2.7","2.7",".",".",".",".",".",".","1.3",".","1.3"
"","367
001","78","2.936","30.8","10.3","24.4","7.7","19.2","3.8","3.8",".",".",".",".",".",".",".",".","."
"","002
367","67","3.159","32.8","11.9","26.9","10.4","14.9","1.5",".","1.5",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","145","3.038","31.7","11.0","25.5","9.0","17.2","2.8","2.1","0.7",".",".",".",".",".",".",".","."
"Learn New Programming Lang","368
001","35","",".",".",".",".",".",".",".",".",".","91.4","8.6",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","41","2.817","19.5","22.0","9.8","19.5","22.0","4.9","2.4",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Numerical Analysis","514
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","20","2.950","40.0","15.0","10.0","15.0","5.0","5.0","10.0",".",".",".",".",".",".",".",".","."
"Image Processing","533
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","37","3.189","32.4","18.9","32.4","8.1",".","5.4","2.7",".",".",".",".",".",".",".",".","."
"","537
001","48","3.506","41.7","29.2","18.8","6.3","2.1",".",".","2.1",".",".",".",".",".",".",".","."
"","537
002","32","3.396","34.4","31.3","15.6","9.4","6.3",".",".",".",".",".",".",".",".","3.1",".","."
"Intro to Operating Systems","Course Total","80","3.463","38.8","30.0","17.5","7.5","3.8",".",".","1.3",".",".",".",".",".","1.3",".","."
"Intro-Artificl Neural Ntwrk","001
539","11","3.200","27.3","18.2","27.3",".","18.2",".",".",".",".",".",".",".",".","9.1",".","."
"","540
001","45","2.878","24.4","22.2","17.8","11.1","13.3","4.4","6.7",".",".",".",".",".",".",".",".","."
"","540
002","31","3.097","22.6","32.3","19.4","12.9","6.5","3.2","3.2",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","Course Total","76","2.967","23.7","26.3","18.4","11.8","10.5","3.9","5.3",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552
001","7","2.071",".",".","28.6","42.9",".","14.3","14.3",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 189 of 407",""
