"The American West to 1850","461
001","","28","3.373","25.0","25.0","42.9","3.6","",".",".",".","3.6",".","",".",".","",".","",".",".",".","."
"Working-Class Cultures","519
001","","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Understandng Latino Fam & Comm","657
001","","11","3.864","72.7","27.3",".",".","",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Directed Study","699
002","","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"CHICLA
228","Dept. Total","","75","3.530","46.7","28.0","17.3","1.3","",".","1.3","1.3","2.7","",".",".","",".","",".","1.3",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","2.353","16.7","33.3","16.7",".","",".","16.7","16.7",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","12","3.794","66.7","16.7","8.3",".","",".",".",".",".","",".",".","",".","",".","8.3",".",".","."
"Junior","","","20","3.592","50.0","30.0","15.0","5.0","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","36","3.589","44.4","27.8","22.2",".","",".",".",".","5.6","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","74","3.530","47.3","27.0","17.6","1.4","",".","1.4","1.4","2.7","",".",".","",".","",".","1.4",".",".","."
"Graduate","","","1","3.500",".","100.0",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","75","3.530","46.7","28.0","17.3","1.3","",".","1.3","1.3","2.7","",".",".","",".","",".","1.3",".",".","."
