"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"","201
001","22","3.625","31.8","50.0","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","201
002","20","3.450","45.0","30.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Intro Land Arc Studio","Course Total","42","3.538","38.1","40.5","14.3",".",".",".","2.4",".",".",".",".",".","4.8",".",".","."
"","250
001","26","3.346","57.7","7.7","15.4","7.7","3.8","3.8","3.8",".",".",".",".",".",".",".",".","."
"","250
002","24","3.146","37.5","12.5","25.0","8.3","12.5",".","4.2",".",".",".",".",".",".",".",".","."
"","250
003","23","3.310","43.5","21.7","13.0",".","4.3","4.3","4.3","8.7",".",".",".",".",".",".",".","."
"","250
004","27","3.060","25.9","3.7","33.3","14.8","14.8",".",".","3.7",".",".",".",".",".",".","3.7","."
"","250
005","21","3.176","28.6",".","33.3","9.5","9.5",".",".","14.3","4.8",".",".",".",".",".",".","."
"","250
006","20","3.105","35.0","5.0","30.0","15.0",".","10.0",".",".",".",".",".",".",".",".","5.0","."
"Survey of Land Arch Design","Course Total","141","3.193","38.3","8.5","24.8","9.2","7.8","2.8","2.1","4.3","0.7",".",".",".",".",".","1.4","."
"Prin Land Arc Dsgn&Graphics","261
001","22","3.523","18.2","68.2","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Plants I","263
001","17","2.529",".","17.6","35.3","5.9","29.4","11.8",".",".",".",".",".",".",".",".",".","."
"Independent Studies","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354
001","24","3.375","29.2","54.2","4.2","4.2",".","8.3",".",".",".",".",".",".",".",".",".","."
"Planting Design I","365
001","24","3.229","20.8","16.7","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","26","3.538","50.0","38.5",".",".","7.7","3.8",".",".",".",".",".",".",".",".",".","."
"","375
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","36","3.591","63.9","27.8",".",".","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"","399
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550
001","23","3.239","21.7","21.7","43.5","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","23","3.045","21.7","26.1","26.1",".","17.4",".","4.3",".",".",".",".",".","4.3",".",".","."
"Restoration Ecology","666
001","14","3.071","21.4","7.1","42.9","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Cult Rsrce Presrv&Lndsc Hst","677
001","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","3","***","","","","","","","","","","","","","","","",""
"Crit Inquiry-Landscape Dsgn","720
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Seminar","940
001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","13","",".",".",".",".",".",".",".","92.3",".",".",".","7.7",".",".",".","."
