"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","194","3.394","38.7","20.6","26.3","9.3","4.1","0.5",".","0.5",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","53","3.179","22.6","22.6","24.5","28.3","1.9",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","410
001","40","3.000","22.5","7.5","40.0","7.5","22.5",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","49","3.490","20.4","57.1","22.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","69","3.065","21.7","14.5","33.3","15.9","14.5",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","430
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","49","3.765","71.4","22.4","2.0",".","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","17","3.500","58.8",".","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","24","3.667","54.2","25.0","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","24","3.563","20.8","70.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","15","3.600","60.0","20.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","730
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
151","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","Course Total","3","***","","","","","","","","","","","","","","","",""
"","978
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","978
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
151","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng&Rsch-Real Estate PhD","999
142","2","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","574","3.409","39.9","22.8","22.5","8.9","5.2","0.3",".","0.3",".",".",".",".",".",".",".","."
