"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","251","2.966","17.5","13.1","42.2","12.0","10.0","1.6","2.8","0.4",".",".",".",".","0.4",".",".","."
"","300
002","224","2.879","11.6","15.2","38.4","15.2","16.5","0.9","1.8",".",".",".",".",".","0.4",".",".","."
"Introduction to Finance","Course Total","475","2.925","14.7","14.1","40.4","13.5","13.1","1.3","2.3","0.2",".",".",".",".","0.4",".",".","."
"","305
001","46","3.098","26.1","15.2","26.1","17.4","15.2",".",".",".",".",".",".",".",".",".",".","."
"","305
002","56","3.080","19.6","21.4","26.8","19.6","12.5",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","102","3.088","22.5","18.6","26.5","18.6","13.7",".",".",".",".",".",".",".",".",".",".","."
"","320
001","57","3.281","29.8","24.6","24.6","14.0","7.0",".",".",".",".",".",".",".",".",".",".","."
"","320
002","54","3.241","29.6","13.0","42.6","9.3","3.7","1.9",".",".",".",".",".",".",".",".",".","."
"","320
003","49","3.219","22.4","34.7","26.5","4.1","4.1","6.1",".","2.0",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","160","3.248","27.5","23.8","31.3","9.4","5.0","2.5",".","0.6",".",".",".",".",".",".",".","."
"","325
001","26","3.596","65.4","3.8","19.2","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"","325
002","36","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","35","3.657","65.7","11.4","17.1",".","5.7",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","97","3.686","63.9","17.5","13.4","2.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"","330
001","44","3.267","18.2","38.6","25.0","9.1","6.8",".",".",".",".",".",".",".",".",".","2.3","."
"","330
002","61","3.123","21.3","24.6","29.5","9.8","13.1","1.6",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","105","3.183","20.0","30.5","27.6","9.5","10.5","1.0",".",".",".",".",".",".",".",".","1.0","."
"","365
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","42","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","55","3.836","70.9","25.5","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","76","3.413","36.8","23.7","26.3","7.9","3.9",".",".","1.3",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","40","3.350","35.0","20.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","65","3.485","26.2","47.7","23.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","60","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","55","3.827","70.9","23.6","5.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","180","3.581","39.4","38.3","21.1","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate Finance Decisions","727
001","20","3.625","35.0","55.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal-Fixed Income Securities","740
001","28","3.571","42.9","32.1","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Market for Corporate Contrl","750
001","23","3.591","34.8","47.8","8.7","4.3",".",".",".",".",".",".",".",".",".","4.3",".","."
"","765
001","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","42","3.321","16.7","42.9","31.0","7.1","2.4",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","77","3.460","51.9","24.7","18.2","3.9","1.3",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
059","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Derivative Securities","830
001","11","3.650","45.5","27.3","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","15","3.567","60.0","6.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Investments (Ph.D.)","970
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"PhD Thesis-Finance","990
152","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Finance PhD","999
152","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 53 of 407"
