"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","142","3.255","30.3","23.2","19.0","14.8","8.5","0.7",".","1.4",".",".",".",".",".","2.1",".","."
"103","002","","132","3.178","37.9","27.3","15.2","6.8","3.0","2.3","7.6",".",".",".",".",".",".",".",".","."
"103","003","","140","2.942","13.6","23.6","36.4","12.1","5.0","5.7","2.9","0.7",".",".",".",".",".",".",".","."
"The Evolving Universe","Course Total","","414","3.124","27.1","24.6","23.7","11.4","5.6","2.9","3.4","0.7",".",".",".",".",".","0.7",".","."
"113","001","","15","3.357","46.7","13.3","26.7",".",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"113","002","","13","3.538","61.5",".","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"113","003","","20","3.625","60.0","5.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"113","004","","13","3.654","61.5","7.7","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"113","005","","20","3.150","35.0","15.0","30.0","5.0","5.0","10.0",".",".",".",".",".",".",".",".",".","."
"113","006","","17","3.618","70.6","5.9","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","98","3.479","55.1","8.2","28.6","1.0","2.0","3.1","1.0","1.0",".",".",".",".",".",".",".","."
"150
Topics in Astronomy","001","","38","3.500","50.0","21.1","18.4","2.6","2.6",".","2.6","2.6",".",".",".",".",".",".",".","."
"310
Stellar Astrophysics","001","","18","2.861","38.9","22.2","5.6","5.6","11.1",".","16.7",".",".",".",".",".",".",".",".","."
"330
Galaxies","001","","16","3.100","18.8","25.0","25.0","18.8",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"460
Experience-Astronom Observ","001","","6","",".",".",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.917","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Basic Astrophysics I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"735
Observational Cosmology","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","27","",".",".",".",".",".",".",".","96.3",".",".",".",".",".",".","3.7","."
