"BUS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Actuarial Science Methods I","300
001","35","3.971","91.4","5.7",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","2.9"
"Actuarial Science Methods II","301
001","20","3.950","95.0",".","5.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Theory-Interst & Life Insur","303
001","36","3.389","36.1","30.6","16.7","8.3","8.3",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Actuarial Mathematics I","650
001","64","3.195","21.9","31.3","20.3","17.2","9.4",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Loss Models I","652
001","51","3.265","29.4","17.6","35.3","11.8","5.9",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"ACT SCI
242","Dept. Total","206","3.339","45.1","20.4","18.4","9.7","5.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","29","3.433","79.3","6.9",".","3.4","10.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","73","3.338","43.8","21.9","20.5","9.6","2.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.4"
"Senior","","72","3.161","31.9","13.9","29.2","15.3","9.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","174","3.262","44.8","16.1","20.7","10.9","6.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","0.6"
"Special","","4","3.250","25.0","25.0","25.0","25.0",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","28","3.732","50.0","46.4","3.6",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","206","3.339","45.1","20.4","18.4","9.7","5.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","0.5"
