"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150
Education and Public Policy","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Race,Ethnicty&Inequal-Am Ed","001","","18","3.722","66.7","22.2","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"300","001","","34","3.662","38.2","55.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","33","3.636","63.6","15.2","12.1","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"300","003","","27","3.759","51.9","48.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","25","3.600","48.0","48.0",".",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","119","3.664","50.4","41.2","5.0","0.8","1.7",".","0.8",".",".",".",".",".",".",".",".","."
"340
Comparative Education","001","","26","3.600","53.8","30.8",".",".","11.5",".",".",".",".",".",".",".",".",".","3.8","."
"399
Independent Reading","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"412
History-American Education","001","","61","3.451","24.6","45.9","24.6","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"460
Cultural Pluralsm&Ed Policy","001","","35","3.343","20.0","31.4","45.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"505
Issues in Urban Education","001","","30","3.679","56.7","16.7","16.7","3.3",".",".",".","3.3",".",".",".",".",".","3.3",".","."
"545
Philos Concepts-Tch&Learng","001","","21","3.595","52.4","42.9",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Independent Reading","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701
Intro to Ed Policy Studies","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"765
Issues in Educ Policy Analysis","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Special Topics in Educ Policy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"805
Gender Issues-Intl Educ Policy","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"830
Financng Elem&Secondry Educ","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"855
Issues-Elementary Education","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"906
Prosem-History of Education","001","","8","3.813","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"908
Smr-Sociology of Education","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","32","",".",".",".",".",".",".",".","84.4","3.1",".",".","9.4",".",".","3.1","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","7","3.893","57.1","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","14.3","."
