"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","161","2.769","13.0","10.6","34.8","15.5","19.3","4.3","1.9",".","0.6",".",".",".",".",".",".","."
"","002
300","197","2.811","18.8","8.6","37.6","8.6","18.3","3.6","4.1","0.5",".",".",".",".",".",".",".","."
"","300
010","137","2.879","22.6","5.8","35.0","13.9","16.8","1.5","3.6",".",".",".",".",".",".","0.7",".","."
"Organizational Behavior","Course Total","495","2.816","18.0","8.5","36.0","12.3","18.2","3.2","3.2","0.2","0.2",".",".",".",".","0.2",".","."
"","305
001","62","2.952","17.7","12.9","38.7","6.5","22.6","1.6",".",".",".",".",".",".",".",".",".","."
"","305
002","50","2.770","8.0","12.0","38.0","18.0","20.0","4.0",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","112","2.871","13.4","12.5","38.4","11.6","21.4","2.7",".",".",".",".",".",".",".",".",".","."
"","365
001","15","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","35","3.543","34.3","57.1","5.7",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","50","3.590","36.0","58.0","4.0",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"","399
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
217","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
225","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
228","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","8","3.739","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","35","3.515","34.3","40.0","17.1","2.9","2.9",".",".",".",".",".",".",".",".","2.9",".","."
"","420
001","32","3.781","75.0","18.8","3.1",".",".","3.1",".",".",".",".",".",".",".",".",".","."
"","420
002","37","3.597","32.4","51.4","13.5",".",".",".",".",".",".",".",".",".",".","2.7",".","."
"Manage Change & Org","Course Total","69","3.684","52.2","36.2","8.7",".",".","1.4",".",".",".",".",".",".",".","1.4",".","."
"","422
001","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","Course Total","36","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","423
001","36","3.389","30.6","27.8","30.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","14","3.654","28.6","64.3",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Personnel Staffing & Eval","611
001","28","3.518","50.0","25.0","21.4",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"Negotiations","628
001","29","3.793","62.1","34.5","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","23","3.727","47.8","43.5","4.3",".",".",".",".",".",".",".",".",".",".",".","4.3","."
"Entrepreneurial Management","722
001","39","3.697","48.7","38.5","10.3",".",".",".",".",".",".",".",".",".",".","2.6",".","."
"","723
001","53","3.877","75.5","24.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","53","3.858","71.7","28.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","106","3.868","73.6","26.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","728
001","32","3.594","56.3","25.0","12.5",".","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"","728
002","28","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","Course Total","60","3.717","66.7","20.0","10.0",".","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"Venture Creation","734
001","19","3.711","47.4","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"WAVE Practicum I","737
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Arts Administration","773
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master's Research and Thesis","790
204","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","799
129","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Meth-Management I","835
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Org Behavior & Design","872
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Emerging Entrepreneurship","977
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 57 of 407"
