"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Taxatn:Bus & Persnl Planng","329
001","9","1.667","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to American Law","601
001","35","3.529","37.1","31.4","31.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
001","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
002","14","3.321","42.9","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Sources","Course Total","28","3.446","35.7","42.9","14.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","77","1.078","7.8",".","22.1",".","5.2",".",".",".",".",".",".",".",".",".",".","."
"","711
002","92","0.902","7.6",".","14.1",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","711
003","19","1.053","5.3",".","21.1",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","711
004","17","1.412","17.6",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
005","20","1.111","15.0",".","10.0",".","5.0",".",".",".",".",".",".",".",".",".","5.0","5.0"
"","711
006","21","1.810","14.3",".","38.1",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","711
007","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contracts I","Course Total","252","1.140","9.9","0.4","20.2",".","6.3",".",".",".",".",".",".",".",".",".","0.4","0.4"
"","714
001","57","1.193","5.3",".","31.6",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","714
002","57","1.088","8.8",".","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","714
003","61","1.213","6.6",".","26.2",".","8.2",".",".",".",".",".",".",".",".",".",".","."
"","714
004","58","0.929","1.7",".","27.6",".",".",".",".",".",".",".",".",".",".",".","1.7","1.7"
"","714
005","19","1.263","10.5",".","21.1",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Civil Procedure I","Course Total","252","1.120","6.0",".","26.2",".","4.4",".",".",".",".",".",".",".",".",".","0.4","0.4"
"","715
001","91","1.202","9.9",".","23.1",".","4.4",".",".",".",".",".",".",".",".",".","1.1","1.1"
"","715
002","90","1.233","12.2",".","21.1",".","4.4","2.2",".",".",".",".",".",".",".",".",".","."
"","715
003","20","1.275","5.0","5.0","20.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"","715
004","21","0.571","4.8",".","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","715
006","19","1.421","10.5",".","15.8",".","26.3",".",".",".",".",".",".",".",".",".",".","."
"","715
007","18","1.444","11.1",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Torts I","Course Total","259","1.200","10.0","0.4","21.2",".","6.6","0.8",".",".",".",".",".",".",".",".","0.4","0.4"
"","723
001","11","1.364","9.1",".","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","723
002","10","0.900",".",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
723","11","1.727",".",".","45.5",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","723
004","13","1.000","7.7",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","11","2.000","9.1",".","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","12","1.000",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
007","11","0.364","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","11","1.091",".",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
009","10","1.500",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
010","12","2.333","8.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
011","9","0.667",".",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
012","9","1.000",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
013","10","0.800",".",".","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","723
014","9","1.000",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
015","12","1.167",".",".","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","723
016","11","1.364",".",".","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
017","10","1.500",".",".","40.0",".",".",".",".",".",".",".",".",".",".",".","10.0","10.0"
"","723
018","11","1.727","9.1",".","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
019","11","1.364",".",".","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 323 of 407",""
