"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"ESL: Academic Writing II","Course Total","157","3.242","32.5","33.1","20.4","3.8","3.2","1.3","5.7",".",".",".",".",".",".",".",".","."
"","122
002","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","122
003","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Oral Communicatn Skills","Course Total","32","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Myth and Literature","155
001","20","3.875","85.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Shakespeare","162
001","224","3.430","37.1","30.4","20.1","4.0","5.8","0.4","0.4","1.3",".",".",".",".",".",".",".","0.4"
"","167
001","32","3.269","28.1","12.5","25.0","6.3","9.4",".",".","12.5",".",".",".",".","6.3",".",".","."
"","167
002","210","3.329","20.5","45.2","21.9","8.1","0.5","1.0","1.4",".",".",".",".",".",".","0.5","1.0","."
"Intro-Brit & Amer Lit pre-1914","Course Total","242","3.322","21.5","40.9","22.3","7.9","1.7","0.8","1.2","1.7",".",".",".",".","0.8","0.4","0.8","."
"Intro to Modern Lit since 1900","168
001","201","3.280","16.4","39.3","35.3","6.5","0.5",".","1.5","0.5",".",".",".",".",".",".",".","."
"","169
001","184","3.530","42.4","35.3","15.2","2.2","1.6","1.6","0.5","0.5",".",".",".",".",".","0.5",".","."
"","169
002","241","3.456","28.2","42.7","24.5","2.9","1.2",".","0.4",".",".",".",".",".",".",".",".","."
"Intro to Modern American Lit","Course Total","425","3.493","34.4","39.5","20.5","2.6","1.4","0.7","0.5","0.2",".",".",".",".",".","0.2",".","."
"Literature, Gender & Sexuality","171
001","232","3.329","26.7","34.9","28.0","5.6","1.7","0.9","1.7",".",".",".",".",".",".",".",".","0.4"
"Intro-Ethnic&Multicultural Lit","173
001","17","3.353","47.1","11.8","29.4",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Lit & the Other Disciplines","175
001","30","3.707","63.3","30.0",".",".",".",".","3.3","3.3",".",".",".",".",".",".",".","."
"Literature and Popular Culture","177
001","254","3.383","28.7","37.4","23.6","5.9","2.0","1.6","0.4","0.4",".",".",".",".",".",".",".","."
"Freshman Honors Seminar","181
001","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","002
201","16","3.500","37.5","37.5",".","18.8",".",".",".",".",".",".",".",".","6.3",".",".","."
"","201
003","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
004","16","3.688","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
005","15","3.300","40.0","26.7","20.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","201
006","16","3.563","18.8","75.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
201","19","3.816","84.2","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","201
009","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
010","18","3.765","55.6","33.3","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","201
011","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","201
012","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
013","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
201","16","3.767","56.3","31.3","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","226","3.735","64.6","24.3","6.2","2.2","0.4",".","0.9","0.9",".",".",".",".","0.4",".",".","."
"","203
001","18","3.611","50.0","22.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","17","3.529","29.4","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","17","3.529","35.3","41.2","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
005","15","3.500","26.7","53.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Writng:Beg Fict&Poet","Course Total","97","3.577","38.1","41.2","18.6","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","215
001","169","3.080","20.1","24.9","30.8","10.1","9.5","2.4","1.8","0.6",".",".",".",".",".",".",".","."
"","215
002","31","3.613","29.0","64.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"British Literature Before 1750","Course Total","200","3.145","21.5","31.0","27.0","8.5","8.0","2.0","1.5","0.5",".",".",".",".",".",".",".","."
"British&Anglo Lit 1750-Present","216
001","140","3.361","30.0","37.1","19.3","7.9","4.3",".","1.4",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 202 of 407",""
