"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"311","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"311","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Dutch-Grad Stdts","Course Total","","4","***","","","","","","","","","","","","","","","",""
"313
3rd Sem Dutch-Grad Stdts","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"335
Dutch Conversatn&Compositn","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"337
Adv Compositn & Conversatn","001","","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"351
Intro to German Linguistics","001","","17","3.618","58.8","23.5","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"362
Topics in German Literature","001","","16","3.500","56.3","25.0","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"391
German for Grad Reading I","001","","24","3.935","83.3","12.5",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"401","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem German for Grad Stdts","Course Total","","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"402
2nd Sem German for Grad Stdts","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"403","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"403","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem German for Grad Stdts","Course Total","","2","***","","","","","","","","","","","","","","","",""
"404","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"404","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem German for Grad Stdts","Course Total","","2","***","","","","","","","","","","","","","","","",""
"410
Kultur 1648-1918","001","","22","3.682","50.0","36.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"445
Topics in Dutch Culture","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"645
Cultuurkunde der Lage Landen","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650
History-German Language","001","","17","3.794","82.4","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"676
Adv Seminar in German Studies","001","","20","3.184","45.0","25.0","5.0",".","5.0","10.0","5.0",".",".",".",".",".",".",".",".","5.0"
"699
Directed Study","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"711
Special Topics-German Lit","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"723
Pract-Teachng Undergrad Lit","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"727
Topics-Applied Linguistics","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Topics-German Cultural Thry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"758","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"758","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemporary German","Course Total","","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","3.893","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 218 of 407",""
