"","990
004","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
005","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
007","4","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Individual Research","Course Total","7","",".",".",".",".",".",".",".","100.0","",".",".",".","",".","",".",".",".","."
"ITALIAN
508","Dept. Total","690","3.524","47.4","23.0","20.0","4.2","1.7","0.4","0.7","2.3","",".",".",".","",".","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","152","3.531","46.7","25.0","19.1","5.9","2.0","0.7",".","0.7","",".",".",".","",".","",".",".",".","."
"Sophomore","","171","3.557","48.5","25.7","19.3","4.7","0.6","0.6","0.6",".","",".",".",".","",".","",".",".",".","."
"Junior","","159","3.487","39.0","28.9","25.2","3.1","3.1",".",".","0.6","",".",".",".","",".","",".",".",".","."
"Senior","","122","3.342","42.6","18.0","26.2","4.9","2.5","0.8","3.3","1.6","",".",".",".","",".","",".",".",".","."
"Undergraduates","","604","3.491","44.4","24.8","22.2","4.6","2.0","0.5","0.8","0.7","",".",".",".","",".","",".",".",".","."
"Special","","10","3.750","60.0","10.0",".","10.0",".",".",".","10.0","",".",".",".","",".","",".",".","10.0","."
"Graduate","","76","3.879","69.7","10.5","5.3",".",".",".",".","14.5","",".",".",".","",".","",".",".",".","."
"","Dept. Total","690","3.524","47.4","23.0","20.0","4.2","1.7","0.4","0.7","2.3","",".",".",".","",".","",".",".","0.1","."
