"CONSUMER SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","",""
"","275","001","","99","3.364","17.2","48.5","26.3","6.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"","275","002","","111","3.820","75.7","14.4","9.0",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","","Course Total","","210","3.605","48.1","30.5","17.1","2.9","1.4",".",".",".",".",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350","001","","92","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357","001","","68","3.772","76.5","11.8","7.4","1.5","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370","001","","28","3.661","64.3","25.0",".",".","10.7",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470","002","","27","3.556","11.1","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475","001","","71","3.366","40.8","18.3","16.9","21.1","2.8",".",".",".",".",".",".",".",".",".",".","."
"","477","001","","88","3.483","33.0","39.8","15.9","10.2",".",".",".","1.1",".",".",".",".",".",".",".","."
"","477","002","","76","2.750","3.9","10.5","36.8","28.9","19.7",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","","Course Total","","164","3.141","19.5","26.2","25.6","18.9","9.1",".",".","0.6",".",".",".",".",".",".",".","."
"Consumer Information","478","001","","90","2.828","1.1","18.9","42.2","20.0","17.8",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","20","3.525","70.0","10.0","5.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","501","002","","94","3.936","93.6",".","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","005","","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","008","","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","164","3.806","89.0","3.0","5.5","0.6","1.2",".","0.6",".",".",".",".",".",".",".",".","."
"Prep for Retailng Internshp","503","001","","30","3.817","90.0","3.3",".",".","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Retail Promotion","560","001","","15","3.067","6.7","33.3","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Direct Retailing","561","001","","49","3.827","75.5","14.3","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565","001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","015","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Internship","603","015","","8","3.841","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","627","001","","40","3.200","25.0","22.5","35.0","2.5","15.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657","001","","86","3.407","26.7","34.9","32.6","4.7","1.2",".",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","665","001","","26","3.635","26.9","73.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","901","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Consumer Research","960","001","","12","3.778","75.0","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","12","",".",".",".",".",".",".",".","91.7",".",".",".",".",".",".","8.3","."
"","999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 143 of 407",""
