"E ASIAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"First Semester Chinese","101","001","137","3.678","60.6","24.1","7.3","1.5","0.7","0.7","1.5","3.6",".",".",".",".",".",".",".","."
"First Semester Japanese","103","001","122","3.266","29.5","32.0","17.2","11.5","7.4","1.6","0.8",".",".",".",".",".",".",".",".","."
"Elementary Korean","105","001","44","3.628","54.5","22.7","11.4","9.1",".",".",".","2.3",".",".",".",".",".",".",".","."
"Elem Conversatn Chinese-Prof I","111","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","122","001","18","3.706","55.6","22.2","16.7",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"","122","002","12","3.667","75.0","8.3",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","30","3.690","63.3","16.7","10.0","3.3","3.3",".",".",".",".",".",".",".",".","3.3",".","."
"","124","001","14","3.308","35.7","14.3","21.4","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"","124","002","19","3.342","36.8","31.6","10.5","5.3","15.8",".",".",".",".",".",".",".",".",".",".","."
"","124","003","15","3.267","40.0","26.7","13.3",".","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","48","3.309","37.5","25.0","14.6","6.3","12.5","2.1",".","2.1",".",".",".",".",".",".",".","."
"Third Semester Chinese","201","001","52","3.808","71.2","21.2","5.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","203","001","58","3.545","48.3","27.6","12.1","5.2","1.7",".","1.7","3.4",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","24","3.413","33.3","29.2","29.2",".",".","4.2",".","4.2",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","17","3.567","41.2","23.5","17.6","5.9",".",".",".","11.8",".",".",".",".",".",".",".","."
"Directed Study","299","016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","001","10","3.188","30.0","10.0","30.0",".",".","10.0",".","10.0",".",".",".",".",".",".",".","10.0"
"","300","002","6","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Humanities Topics in EAS","","Course Total","16","3.214","31.3","6.3","37.5","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".","6.3"
"Fifth Semester Chinese","301","001","49","3.755","73.5","16.3","8.2",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","303","001","39","3.628","43.6","41.0","12.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Chinese","311","001","7","3.763","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","317","001","6","3.912","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Japanese","319","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","321","001","45","3.344","37.8","22.2","24.4","11.1","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","327","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","330","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","341","001","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Korean","345","001","12","3.348","58.3","16.7","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Fifth Semester Korean","347","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","21","2.717","4.8","9.5","42.9","33.3","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","351","001","23","3.848","73.9","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","353","001","32","2.984","9.4","6.3","62.5","15.6","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Confucianism","363","001","14","3.643","57.1","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","49","3.333","26.5","30.6","24.5","14.3","2.0",".",".",".",".",".",".",".",".","2.0",".","."
"Intermed Tech Japanese I","374","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seventh Semester Chinese","401","001","28","3.830","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Japanese","403","001","19","3.333","21.1","36.8","21.1","15.8",".",".",".","5.3",".",".",".",".",".",".",".","."
"Seventh Semester Korean","405","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese for Bus & Industry","430","001","6","3.167","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Intro-Chinese Linguistics","431","001","44","3.698","56.8","27.3","11.4","4.5",".",".",".",".",".",".",".",".",".",".",".","."
