"LATIN (CLASSICS)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","",""
"","103
001","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
002","20","3.711","60.0","15.0","20.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","103
003","22","3.386","59.1","9.1","13.6","4.5","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"","103
004","17","3.500","52.9","17.6","5.9","5.9","11.8",".",".","5.9",".",".",".",".",".",".",".","."
"","103
005","16","3.313","37.5","25.0","18.8",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"","103
006","18","3.194","38.9","22.2","22.2","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","103
007","18","3.278","44.4","16.7","16.7","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Elementary Latin","Course Total","131","3.461","51.9","19.1","14.5","3.1","6.1","3.1","0.8","1.5",".",".",".",".",".",".",".","."
"","203
001","25","3.333","32.0","24.0","28.0",".","12.0",".",".","4.0",".",".",".",".",".",".",".","."
"","203
002","20","3.525","55.0","15.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Latin","Course Total","45","3.420","42.2","20.0","24.4",".","11.1",".",".","2.2",".",".",".",".",".",".",".","."
"Latin Lit of Roman Republic","301
001","16","3.733","56.3","25.0","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Roman Drama","520
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","890
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Roman History","930
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"LATIN
524","Dept. Total","217","3.507","53.5","19.4","14.7","1.8","6.0","1.8","0.5","2.3",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","53","3.659","56.6","24.5","15.1","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","47","3.448","48.9","23.4","17.0",".","6.4","4.3",".",".",".",".",".",".",".",".",".","."
"Junior","","46","3.393","47.8","17.4","21.7","2.2","6.5","4.3",".",".",".",".",".",".",".",".",".","."
"Senior","","45","3.314","46.7","15.6","11.1","4.4","13.3",".","2.2","6.7",".",".",".",".",".",".",".","."
"Undergraduates","","191","3.466","50.3","20.4","16.2","2.1","6.8","2.1","0.5","1.6",".",".",".",".",".",".",".","."
"Special","","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Graduate","","22","3.875","77.3","13.6","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","217","3.507","53.5","19.4","14.7","1.8","6.0","1.8","0.5","2.3",".",".",".",".",".",".",".","."
