"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","15","3.872","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","3.865","71.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
General Soil Science","001","","81","2.957","24.7","11.1","33.3","7.4","17.3","4.9","1.2",".",".",".",".",".",".",".",".","."
"321
Soils and Environmental Chem","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"324
Soils and Envrnmtl Quality","001","","13","3.346","53.8","15.4","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"325
Pedology","001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Turfgrass Nutrient&Water Mgmt","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499
Soil Management","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"532
Environmental Biophysics","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","10","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"622
Soil Physics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"626
Mineral Nutrition of Plants","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"728
Graduate Seminar","001","","19","3.500",".","21.1",".",".",".",".",".","78.9",".",".",".",".",".",".",".","."
"799
Pract-Soil Science Teaching","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","20","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
