"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"500
Fund Principles-Vet Anatomy","001","","81","3.358","37.0","16.0","34.6","8.6","2.5","1.2",".",".",".",".",".",".",".",".",".","."
"501
Veterinary Histology","001","","81","3.000","11.1","21.0","42.0","16.0","7.4","1.2","1.2",".",".",".",".",".",".",".",".","."
"503
Veterinary Develomntl Anat","001","","81","3.605","58.0","13.6","23.5","1.2","3.7",".",".",".",".",".",".",".",".",".",".","."
"551
Veterinary Physiology A","001","","81","3.111","13.6","18.5","53.1","8.6","4.9","1.2",".",".",".",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","4","***","","","","","","","","","","","","","","","",""
