"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","88","2.960","19.3","15.9","30.7","8.0","22.7","2.3",".","1.1",".",".",".",".",".",".",".","."
"","002
224","82","3.061","25.6","19.5","28.0","7.3","15.9","1.2","2.4",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","170","3.009","22.4","17.6","29.4","7.6","19.4","1.8","1.2","0.6",".",".",".",".",".",".",".","."
"","301
001","132","3.073","25.8","15.9","24.2","21.2","9.8","0.8","1.5",".",".",".",".",".","0.8",".",".","."
"","301
002","90","2.983","20.0","22.2","30.0","14.4","5.6","3.3","4.4",".",".",".",".",".",".",".",".","."
"","301
003","141","3.415","43.3","17.7","22.7","12.8","2.8","0.7",".",".",".",".",".",".",".",".",".","."
"","301
004","95","3.237","33.7","16.8","25.3","17.9","4.2","1.1","1.1",".",".",".",".",".",".",".",".","."
"","301
005","137","3.173","25.5","32.1","18.2","12.4","5.8","2.9","2.2",".",".",".",".",".",".",".",".","0.7"
"","301
007","136","3.235","26.5","24.3","24.3","22.8","0.7","1.5",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","731","3.198","29.5","21.8","23.7","17.0","4.8","1.6","1.4",".",".",".",".",".","0.1",".",".","0.1"
"Intro to Math Statistics","309
001","37","3.319","21.6","40.5","16.2","16.2","2.7",".",".",".",".",".",".",".",".",".",".","2.7"
"","311
001","44","3.307","31.8","29.5","15.9","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","311
002","47","3.170","27.7","29.8","14.9","8.5","17.0","2.1",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","Course Total","91","3.236","29.7","29.7","15.4","11.0","13.2","1.1",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","63","3.167","25.4","20.6","34.9","9.5","6.3","1.6","1.6",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","65","3.100","23.1","23.1","21.5","21.5","9.2",".","1.5",".",".",".",".",".",".",".",".","."
"","371
001","94","3.830","76.6","17.0","4.3",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","371
002","143","3.773","69.9","21.7","4.9","1.4","1.4","0.7",".",".",".",".",".",".",".",".",".","."
"","371
003","90","3.444","37.8","33.3","13.3","7.8","6.7",".",".",".",".",".",".",".",".",".","1.1","."
"Intro Applied Stats-Life Sci","Course Total","327","3.699","63.0","23.5","7.0","2.8","3.1","0.3",".",".",".",".",".",".",".",".","0.3","."
"Appl Categorical Data Anal","421
001","22","3.357","31.8","31.8","22.7",".","4.5","4.5",".",".",".",".",".",".","4.5",".",".","."
"Stat Expermntl Design-Engrs","424
001","31","3.629","41.9","41.9","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","431
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","29","3.815","82.8","6.9",".",".",".",".","3.4","6.9",".",".",".",".",".",".",".","."
"","571
001","58","3.448","29.3","41.4","25.9",".","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"","571
002","44","3.466","31.8","29.5","38.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","102","3.456","30.4","36.3","31.4",".","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"Statistical Meths-Spatial Data","575
001","16","3.769","43.8","37.5",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"Mathematical Statistics I","609
001","17","3.375","35.3","35.3","11.8",".","5.9","5.9",".","5.9",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials","641
001","14","3.385","35.7","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".","7.1",".","."
"Senior Honors Thesis","681
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
095","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mathematical Statistics","709
001","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Decision Trees-Multivar Anal","761
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Bayesian Decisn&Cntrl","775
001","22","3.763","54.5","22.7","9.1",".",".",".",".","9.1",".",".",".",".",".",".","4.5","."
"Theory of Probability","831
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Probability","833
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thry&Appl-Regress&AnalVar I","849
001","27","3.574","40.7","37.0","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Generalized Linear Models","851
001","26","3.680","42.3","46.2","7.7",".",".",".",".","3.8",".",".",".",".",".",".",".","."
