"L&S","","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"HISTORY
448","Dept. Total","4006","3.326","27.5","29.5","23.8","6.5","3.1","0.9","1.0","5.5","",".","0.9","",".","0.3","0.3","0.2","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","422","3.172","18.5","28.7","34.6","10.2","5.2","1.2","0.9","0.2","",".",".","",".",".","0.5",".",".","."
"Sophomore","","665","3.295","23.0","35.3","27.8","7.1","3.9","1.5","0.5","0.2","",".",".","",".",".",".","0.3","0.3","0.2"
"Junior","","973","3.282","24.6","33.6","26.3","8.6","3.3","1.6","0.8","0.3","",".",".","",".",".","0.1","0.3","0.2","0.2"
"Senior","","1472","3.350","31.0","30.8","23.8","5.8","3.1","0.5","1.6","2.2","",".",".","",".","0.3","0.4","0.1","0.1","0.2"
"Undergraduates","","3532","3.297","26.2","32.2","26.6","7.4","3.6","1.1","1.1","1.1","",".",".","",".","0.1","0.3","0.2","0.1","0.2"
"Special","","117","3.557","14.5","11.1","6.0",".",".",".","0.9","60.7","",".","2.6","",".",".","1.7","2.6",".","."
"Graduate","","352","3.871","44.6","8.8","2.8",".",".",".",".","31.3","",".","9.1","",".","2.0","0.6",".","0.9","."
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","4","3.833","50.0","25.0",".",".",".",".",".",".","",".","25.0","",".",".",".",".",".","."
"Professionals","","5","3.731","40.0","40.0",".",".",".",".",".",".","",".","20.0","",".",".",".",".",".","."
"","Dept. Total","4006","3.326","27.5","29.5","23.8","6.5","3.1","0.9","1.0","5.5","",".","0.9","",".","0.3","0.3","0.2","0.2","0.1"
