"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","155
001","20","3.500","35.0","30.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
155","19","3.737","63.2","26.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","20","2.975","15.0","10.0","40.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","155
004","20","3.350","25.0","35.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","005
155","19","3.447","31.6","57.9","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","155
006","20","3.575","55.0","20.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","18","3.111","16.7","44.4","22.2",".","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","155
008","17","3.118","11.8","23.5","47.1","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","155
009","19","2.974",".","10.5","73.7","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","155
010","19","3.526","36.8","31.6","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
011","20","3.275","20.0","30.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
012","21","3.381","42.9","28.6","14.3","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"","155
013","18","3.472","38.9","22.2","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","250","3.344","30.4","28.4","29.2","8.4","2.4",".","1.2",".",".",".",".",".",".",".",".","."
"Freshman Independent Study","199
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","275
001","18","3.694","44.4","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","16","3.531","25.0","56.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
275","16","3.688","43.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","15","3.100","6.7","20.0","66.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","275
005","15","3.786","60.0","26.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","275
006","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","95","3.574","36.8","42.1","18.9",".","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"","305
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Chinese Conversatn I","Course Total","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","330
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","Course Total","4","***","","","","","","","","","","","","","","","",""
"","355
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Bus Chinese-Prof I","Course Total","3","***","","","","","","","","","","","","","","","",""
"","374
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","374
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","14","",".",".",".",".",".",".",".",".",".","92.9",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","395
001","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","17","3.382","41.2","17.6","29.4",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","397
002","18","3.583","22.2","72.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
003","20","3.450","30.0","35.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","21","3.262","19.0","23.8","47.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","18","3.444","11.1","72.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","397
006","18","3.167","22.2","27.8","22.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"","397
007","21","3.738","57.1","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","22","3.432","13.6","68.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","18","3.444","22.2","55.6","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 123 of 407",""
