"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","370","3.029","19.2","24.6","30.3","11.4","5.7","6.2","1.6","1.1",".",".",".",".",".",".",".","."
"Contemporary Amer Society","125
002","361","2.914","19.9","20.2","19.9","13.0","22.2","2.5","1.7","0.6",".",".",".",".",".",".",".","."
"Criminal Justice in America","131
001","91","3.000","14.3","27.5","27.5","9.9","11.0","4.4","1.1","4.4",".",".",".",".",".",".",".","."
"","134
002","98","3.770","80.6","10.2","4.1","1.0","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"","134
003","103","3.678","65.0","17.5","9.7","1.0","3.9",".","1.0","1.9",".",".",".",".",".",".",".","."
"","134
004","98","3.319","34.7","27.6","16.3","11.2","2.0","2.0","2.0","4.1",".",".",".",".",".",".",".","."
"","134
005","90","3.732","67.8","10.0","8.9","4.4","2.2",".",".","6.7",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","389","3.625","62.0","16.5","9.8","4.4","2.6","0.5","1.3","3.1",".",".",".",".",".",".",".","."
"Intro-Rural Sociol&Development","140
001","81","3.108","32.1","17.3","27.2","8.6","3.7","3.7","4.9","2.5",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","168","2.834","13.1","17.3","28.6","16.7","18.5","3.0","1.8",".",".",".",".",".",".",".","1.2","."
"","198
016","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","198
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","199
016","58","3.963","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
061","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","65","3.949","93.8","1.5","4.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","142","3.229","20.4","38.0","21.8","12.0","5.6","1.4","0.7",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","85","3.435","18.8","50.6","29.4","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Food, Culture, and Society","222
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","14","3.321","35.7","35.7","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","29","3.232","17.2","48.3","10.3","10.3","6.9","3.4",".","3.4",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","30","3.000","16.7","16.7","40.0","3.3","6.7","3.3","3.3","10.0",".",".",".",".",".",".",".","."
"","357
001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","16","2.813","37.5","6.3","12.5","18.8","6.3","12.5","6.3",".",".",".",".",".",".",".",".","."
"","357
003","18","3.167","33.3","33.3","5.6","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","357
004","22","3.500","45.5","22.7","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","357
005","20","3.350","30.0","35.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","357
006","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
007","19","3.289","36.8","36.8","10.5",".","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"","357
008","14","3.464","35.7","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","357
009","21","3.524","52.4","28.6","14.3",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","155","3.387","43.2","27.7","13.5","7.1","4.5","1.3","2.6",".",".",".",".",".",".",".",".","."
"","360
001","35","3.000","22.9","11.4","37.1","5.7","17.1",".","2.9",".",".",".",".",".","2.9",".",".","."
"","360
002","31","3.048","9.7","35.5","29.0","19.4","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"","360
003","35","2.971","14.3","28.6","20.0","22.9","8.6","5.7",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","101","3.005","15.8","24.8","28.7","15.8","9.9","2.0","2.0",".",".",".",".",".","1.0",".",".","."
"Stats for Sociologists II","361
001","17","3.625","47.1","29.4","11.8","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","34","3.636","52.9","17.6","26.5",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Computing-Sociologcl Resrch","365
002","8","3.125","25.0","50.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Intro-Mathematical Sociology","375
001","19","3.278","31.6","15.8","36.8","5.3",".","5.3",".","5.3",".",".",".",".",".",".",".","."
"Social Prob-Aging & Old Age","422
001","15","3.400","26.7","40.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 300 of 407",""
