"","990
056","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
057","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
059","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Dissertator Research&Thesis","Course Total","31","",".",".",".",".",".",".",".","87.1","",".",".",".","12.9",".",".",".","."
"M E
612","Dept. Total","2435","3.212","30.6","22.5","19.4","10.3","6.4","1.9","1.1","5.4","",".","0.1",".","2.2","0.1","0.0","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","3.284","53.3","20.0",".","20.0",".",".","6.7",".","",".",".",".",".",".",".",".","."
"Sophomore","","212","3.065","27.4","23.6","19.3","14.2","11.3","3.8","0.5",".","",".",".",".",".",".",".",".","."
"Junior","","572","3.053","23.4","25.3","25.5","14.5","6.6","2.1","2.4",".","",".",".",".",".",".",".",".","."
"Senior","","1057","3.159","29.3","23.6","23.3","11.9","8.5","2.5","0.9",".","",".",".",".",".",".","0.1",".","."
"Undergraduates","","1856","3.119","27.5","24.1","23.3","13.0","8.2","2.5","1.3",".","",".",".",".",".",".","0.1",".","."
"Special","","24","3.237","33.3","29.2","8.3","4.2","8.3",".","4.2","4.2","",".",".",".",".","8.3",".",".","."
"Graduate","","556","3.696","41.2","16.7","6.7","1.3","0.4",".",".","23.4","",".","0.4",".","9.5","0.2",".","0.4","."
"","Dept. Total","2436","3.212","30.7","22.5","19.4","10.3","6.4","1.9","1.1","5.4","",".","0.1",".","2.2","0.1","0.0","0.1","."
