"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","",""
"Independent Study","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Iss & Serv Learng","350
001","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","33","3.924","93.9","3.0",".",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prgm Planning-Fam&Consmr Ed","428
001","27","3.519","63.0","7.4","11.1","3.7","7.4","3.7",".","3.7",".",".",".",".",".",".",".","."
"Stdt Teach-Fam & Consumer Educ","430
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","10","3.365","50.0","10.0","20.0",".",".","10.0",".","10.0",".",".",".",".",".",".",".","."
"","501
002","11","3.682","63.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","501
003","96","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
005","21","3.975","90.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","4.8"
"","501
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
009","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","158","3.935","93.0","2.5","1.9","0.6",".","0.6",".","0.6",".",".",".",".",".",".",".","0.6"
"Parent Educ & Support Programs","650
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations of Educ for Work","660
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"INTER-HE
498","Dept. Total","253","3.879","88.1","4.7","3.2","0.8","1.2","0.8",".","0.8",".",".",".",".",".",".",".","0.4"
