"EGR","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","242","3.595","51.7","27.7","11.6","7.9","0.4","0.8",".","",".","",".","",".",".","",".","",".","",".",".","."
"Intro-Society's Egr Challenges","102
001","141","3.528","51.8","18.4","20.6","5.0","2.8","1.4",".","",".","",".","",".",".","",".","",".","",".",".","."
"","160
001","161","3.644","51.6","29.2","16.1","1.9",".","0.6",".","",".","",".","",".",".","",".","",".","","0.6",".","."
"","160
002","157","3.516","40.8","28.7","24.2","5.7","0.6",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Intro to Engineering Design","Course Total","318","3.580","46.2","28.9","20.1","3.8","0.3","0.3","",".","",".","",".",".","",".","",".","",".","0.3",".","."
"Dean's Leadership Class","400
001","26","",".",".",".",".",".",".",".","",".","",".","","100.0",".","",".","",".","",".",".","."
"INTEREGR
496","Dept. Total","727","3.576","47.5","25.4","16.6","5.2","0.8","0.7","",".","",".","",".","3.6","",".","",".","",".","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","498","3.541","46.8","25.9","19.7","5.4","1.0","1.0","",".","",".","",".",".","",".","",".","",".","0.2",".","."
"Sophomore","","275","3.670","67.6","18.2","8.0","3.3","0.4",".","",".","",".","",".","1.8","",".","",".","",".","0.7",".","."
"Junior","","58","3.710","74.1","8.6",".","1.7",".",".","",".","",".","",".","13.8","",".","",".","",".","1.7",".","."
"Senior","","22","3.000","36.4","4.5","4.5","4.5",".",".","",".","",".","",".","50.0","",".","",".","",".",".",".","."
"Undergraduates","","853","3.576","55.1","21.7","14.2","4.5","0.7","0.6","",".","",".","",".","2.8","",".","",".","",".","0.5",".","."
"Special","","1","",".",".",".",".",".",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Graduate","","1","",".",".",".",".",".",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"","Dept. Total","855","3.576","55.0","21.6","14.2","4.4","0.7","0.6","",".","",".","",".","3.0","",".","",".","",".","0.5",".","."
