"Performance Management","895
001","6","3.667","33.3","66.7",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"","974
001","4","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","974
002","5","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Topics in Public Affairs","Course Total","9","3.889","88.9",".","11.1",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"PUB AFFR
826","Dept. Total","335","3.561","35.5","27.5","17.3","2.4","0.6","0.3","",".","2.4","",".","13.7","",".","",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","36","3.707","52.8","11.1","13.9","2.8",".",".","",".",".","",".","19.4","",".","",".",".",".",".","."
"Undergraduates","","36","3.707","52.8","11.1","13.9","2.8",".",".","",".",".","",".","19.4","",".","",".",".",".",".","."
"Special","","7","3.250",".","28.6","28.6",".",".",".","",".","42.9","",".",".","",".","",".",".",".",".","."
"Graduate","","275","3.553","35.3","29.1","17.1","2.5","0.7","0.4","",".","1.8","",".","12.7","",".","",".","0.4",".",".","."
"Prof Yr 2","","12","3.278",".","41.7","33.3",".",".",".","",".",".","",".","25.0","",".","",".",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","3","3.750","33.3","33.3",".",".",".",".","",".",".","",".","33.3","",".","",".",".",".",".","."
"Professionals","","17","3.462","17.6","35.3","23.5",".",".",".","",".",".","",".","23.5","",".","",".",".",".",".","."
"","Dept. Total","335","3.561","35.5","27.5","17.3","2.4","0.6","0.3","",".","2.4","",".","13.7","",".","",".","0.3",".",".","."
