"BIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","",""
"101","001","","75","2.400","13.3","6.7","22.7","6.7","34.7","9.3","6.7",".",".",".",".",".",".",".",".","."
"101","002","","101","2.535","13.9","4.0","31.7","13.9","21.8","10.9","4.0",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","","176","2.477","13.6","5.1","27.8","10.8","27.3","10.2","5.1",".",".",".",".",".",".",".",".","."
"102","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","004","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"102","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","013","","6","3.167","16.7","50.0",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"102","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","019","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","021","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","","74","3.601","51.4","28.4","12.2","5.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"130
General Botany","001","","13","3.000","23.1","15.4","23.1","15.4","23.1",".",".",".",".",".",".",".",".",".",".","."
"151","001","","164","3.037","16.5","14.0","50.0","4.3","12.8","2.4",".",".",".",".",".",".",".",".",".","."
"151","002","","180","2.894","21.1","10.0","35.6","8.9","16.1","7.2","0.6",".",".",".",".",".",".",".",".","0.6"
"Introductory Biology","Course Total","","344","2.962","18.9","11.9","42.4","6.7","14.5","4.9","0.3",".",".",".",".",".",".",".",".","0.3"
"152","001","","99","2.773","13.1","15.2","35.4","10.1","19.2","2.0","5.1",".",".",".",".",".",".",".",".","."
"152","002","","76","2.967","14.5","5.3","56.6","9.2","11.8",".","1.3",".",".",".",".",".",".",".",".","1.3"
"Introductory Biology","Course Total","","175","2.856","13.7","10.9","44.6","9.7","16.0","1.1","3.4",".",".",".",".",".",".",".",".","0.6"
"153","001","","9","2.667","22.2",".","33.3",".","33.3","11.1",".",".",".",".",".",".",".",".",".","."
"153","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","14","2.643","14.3",".","42.9",".","35.7","7.1",".",".",".",".",".",".",".",".",".","."
"299","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","6","3.500","83.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"375","004","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 166 of 407",""
