"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","180","3.150","6.1","44.4","36.1","5.0","3.9","1.1","1.7","1.1",".",".",".",".",".",".",".","0.6"
"","120","001","118","2.703","13.6","14.4","23.7","19.5","22.0","1.7","5.1",".",".",".",".",".",".",".",".","."
"","120","002","168","2.961","25.0","16.1","18.5","14.3","20.8","3.6","0.6","1.2",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","286","2.854","20.3","15.4","20.6","16.4","21.3","2.8","2.4","0.7",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","43","3.179","32.6","7.0","25.6","27.9","4.7",".",".",".",".",".",".",".",".",".","2.3","."
"Physical Systems of Envr","127","001","53","2.821","17.0","9.4","26.4","26.4","15.1","5.7",".",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","49","3.020","14.3","24.5","30.6","12.2","18.4",".",".",".",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","170","001","198","3.270","27.3","29.3","21.7","16.7","4.0","0.5","0.5",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","38","3.118","23.7","13.2","44.7",".","18.4",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","9","3.688","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"Civs of India-Modern Period","252","001","9","3.333","33.3","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","11","2.650","9.1","27.3","18.2",".","27.3",".","9.1","9.1",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","52","2.830","17.3","5.8","28.8","26.9","13.5","1.9","1.9","3.8",".",".",".",".",".",".",".","."
"Geog,Politics&Territorialty","318","001","55","3.056","14.5","32.7","20.0","21.8","5.5","1.8","1.8","1.8",".",".",".",".",".",".",".","."
"Envrnmntl Eval & Adaptation","319","001","29","3.333","31.0","34.5","10.3","13.8",".",".","3.4","6.9",".",".",".",".",".",".",".","."
"Geomorphology","320","001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Physical Envr","325","001","15","3.300","40.0","13.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","12","3.273","25.0","25.0","25.0","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"","339","001","62","2.677","12.9","11.3","22.6","24.2","21.0","6.5","1.6",".",".",".",".",".",".",".",".","."
"","339","002","46","2.804","21.7","4.3","28.3","17.4","21.7","6.5",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","108","2.731","16.7","8.3","25.0","21.3","21.3","6.5","0.9",".",".",".",".",".",".",".",".","."
"Europe","349","001","197","3.292","35.5","16.8","26.4","6.6","12.2",".",".","2.5",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","49","3.408","36.7","20.4","34.7","4.1","4.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","47","3.128","27.7","27.7","21.3","2.1","14.9","6.4",".",".",".",".",".",".",".",".",".","."
"Seminar","401","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","8","3.643","50.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","12.5"
"Amer Environmental History","460","001","39","3.385","41.0","28.2","17.9","7.7",".","2.6","2.6",".",".",".",".",".",".",".",".","."
"Hist Geog-European Urbanztn","506","001","32","3.661","65.6","15.6","12.5",".",".",".","3.1","3.1",".",".",".",".",".",".",".","."
"Advanced Landform Geography","524","001","14","3.375","35.7","14.3","21.4","7.1","7.1",".",".",".",".",".",".",".","7.1","7.1",".","."
"Adv Quantitative Methods","560","001","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmntl Modeling with GIS","577","001","12","3.417","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","602","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","048","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","7","",".",".",".",".",".",".",".",".",".","71.4",".",".",".",".","28.6","."
"","675","001","18","3.471","55.6","16.7","11.1","5.6",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"","675","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Geography","","Course Total","20","3.474","55.0","15.0","15.0","5.0",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"Special Topics in Geography","676","001","13","3.308","23.1","46.2","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","699","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 212 of 407",""
