"Greek Tragedy","521
001","","14","3.577","50.0","21.4","7.1","14.3",".",".",".",".","",".","",".",".","",".","",".","","7.1",".","."
"","699
002","","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
021","","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","","","","","","",""
"GREEK
428","Dept. Total","","65","3.472","56.9","18.5","7.7","6.2","3.1","3.1","1.5","",".","",".",".","",".","",".","",".","1.5","1.5","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","3.250",".","50.0","50.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","9","3.543","66.7","22.2",".",".",".","11.1",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","16","3.237","37.5","25.0","12.5","12.5","6.3","6.3",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","19","3.320","47.4","21.1","10.5","5.3","5.3",".","5.3","",".","",".",".","",".","",".","",".","5.3",".","."
"Undergraduates","","","46","3.334","45.7","23.9","10.9","6.5","4.3","4.3","2.2","",".","",".",".","",".","",".","",".","2.2",".","."
"Special","","","3","4.000","66.7",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","33.3","."
"Graduate","","","16","3.875","87.5","6.3",".","6.3",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","65","3.472","56.9","18.5","7.7","6.2","3.1","3.1","1.5","",".","",".",".","",".","",".","",".","1.5","1.5","."
