"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Hum Sexuality-Soc,Psych Iss","160
001","204","2.892","13.7","19.1","29.4","17.2","16.7","1.5","2.0",".",".",".",".",".",".",".","0.5","."
"Introduction to Psychology","201
001","17","2.500","5.9","11.8","11.8","29.4","35.3","5.9",".",".",".",".",".",".",".",".",".","."
"","202
001","299","2.734","21.1","13.0","12.4","21.1","23.4","5.0","3.3",".","0.3",".",".",".",".",".","0.3","."
"","202
002","270","2.457","14.8","10.0","17.4","8.9","31.5","12.2","4.4",".","0.4",".",".",".",".","0.4",".","."
"","003
202","316","2.840","18.0","18.7","11.7","25.6","19.3","5.1","0.3","0.6",".",".",".",".",".",".",".","0.6"
"","202
004","358","2.746","19.3","13.7","18.2","19.3","20.1","6.7","2.8",".",".",".",".",".",".",".",".","."
"","005
202","351","2.649","17.1","16.2","12.3","18.2","23.4","9.1","3.1","0.3",".",".",".",".",".",".",".","0.3"
"Introduction to Psychology","Course Total","1594","2.692","18.1","14.5","14.4","18.9","23.2","7.5","2.8","0.2","0.1",".",".",".",".","0.1","0.1","0.2"
"","210
001","61","2.361","14.8",".","29.5","13.1","23.0","9.8","9.8",".",".",".",".",".",".",".",".","."
"","210
002","64","2.508","15.6","7.8","25.0","6.3","29.7","10.9","4.7",".",".",".",".",".",".",".",".","."
"","210
003","57","2.588","15.8","7.0","24.6","15.8","24.6","8.8","3.5",".",".",".",".",".",".",".",".","."
"","210
004","51","2.578","17.6","5.9","27.5","11.8","25.5","3.9","7.8",".",".",".",".",".",".",".",".","."
"","005
210","59","2.788","11.9","25.4","18.6","6.8","32.2","5.1",".",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","292","2.562","15.1","9.2","25.0","10.6","27.1","7.9","5.1",".",".",".",".",".",".",".",".","."
"Freshman Seminar in Psychology","211
001","21","3.452","33.3","33.3","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","43","2.581","14.0","4.7","23.3","9.3","44.2","4.7",".",".",".",".",".",".",".",".",".","."
"","002
225","44","2.705","15.9","6.8","22.7","11.4","43.2",".",".",".",".",".",".",".",".",".",".","."
"","225
003","46","2.543","6.5","15.2","28.3","6.5","32.6","8.7","2.2",".",".",".",".",".",".",".",".","."
"","004
225","38","2.789","18.4","5.3","34.2","10.5","26.3","5.3",".",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","171","2.649","13.5","8.2","26.9","9.4","36.8","4.7","0.6",".",".",".",".",".",".",".",".","."
"Honors Basic Stats for Psych","280
001","22","3.205","27.3","18.2","31.8","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","281
001","20","3.475","40.0","25.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","281
002","24","3.333","37.5","20.8","29.2","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","Course Total","44","3.398","38.6","22.7","29.5","2.3","4.5","2.3",".",".",".",".",".",".",".",".",".","."
"","311
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","113","3.500","42.5","28.3","13.3","8.8","1.8",".","0.9","4.4",".",".",".",".",".",".",".","."
"Issues in Psychology","Course Total","129","3.561","49.6","24.8","11.6","7.8","1.6",".","0.8","3.9",".",".",".",".",".",".",".","."
"Experimental Psych-Graduate","325
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","32","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
025","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
031","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Psychology of Perception","406
001","81","3.111","43.2","7.4","18.5","4.9","19.8","4.9","1.2",".",".",".",".",".",".",".",".","."
"","411
001","30","3.517","30.0","43.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
003","23","3.652","56.5","17.4","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
004","22","3.568","45.5","22.7","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
005","26","3.308","19.2","26.9","50.0","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","006
411","24","3.333","33.3","45.8","8.3","4.2",".","4.2","4.2",".",".",".",".",".",".",".",".","."
"","411
007","24","3.417","29.2","33.3","33.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 284 of 407",""
