"LINGUISTICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101","001","216","3.301","25.0","40.3","16.2","9.7","7.9","0.5","0.5",".",".",".",".",".",".",".",".","."
"Bascom Course","236","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","79","3.357","30.4","36.7","12.7","12.7","3.8",".","1.3","2.5",".",".",".",".",".",".",".","."
"General Phonetics","306","001","14","3.714","71.4","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Phonology","310","001","28","3.518","53.6","25.0","7.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Syntax","330","001","18","3.559","44.4","27.8","11.1","11.1",".",".",".",".",".",".",".",".","5.6",".",".","."
"Survey-N Amer Indian Languages","371","001","16","3.733","75.0",".","12.5",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Junior Honors Tutorial","481","010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Morphology","522","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Experimental Phonetics","562","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Tutorial","583","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","681","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Methods&Materials","800","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","978","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis","990","038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","3","***","","","","","","","","","","","","","","","",""
