"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","34","3.389","23.5","47.1","14.7","11.8",".","2.9",".","",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","35","3.436","25.7","45.7","14.3","11.4",".","2.9",".","",".","",".",".","",".",".","",".",".",".","."
"Special","3","3.841","66.7","33.3",".",".",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Graduate","23","3.859","73.9","13.0","13.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 1","276","3.743","72.8","15.2","6.9","0.4","0.4","0.4","0.4","",".","",".",".","",".","2.5","",".",".","0.4","0.7"
"Prof Yr 2","258","3.354","57.0","23.6","13.6","5.0","0.8",".",".","",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","410","3.473","57.3","18.0","18.8","4.1","1.2","0.2",".","",".","",".",".","",".","0.2","",".",".",".","."
"Prof Yr 4","244","3.824","75.0","16.8","7.0","0.4","0.8",".",".","",".","",".",".","",".",".","",".",".",".","."
"Professionals","1188","3.664","64.5","18.4","12.5","2.7","0.8","0.2","0.1","",".","",".",".","",".","0.7","",".",".","0.1","0.2"
