"","990
077","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
078","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
079","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","41","",".",".",".",".",".",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"PATH
704","Dept. Total","374","3.735","54.8","5.9","16.0","0.5","0.3","0.3","",".","11.0","",".","9.4",".","",".","",".",".","1.6","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","3.143","57.1",".","14.3",".","14.3","14.3","",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","24","3.604","54.2","16.7","25.0","4.2",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","30","3.717","66.7","10.0","23.3",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","38","3.839","81.6","7.9","7.9","2.6",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","99","3.695","68.7","10.1","17.2","2.0","1.0","1.0","",".",".","",".",".",".","",".","",".",".",".","."
"Special","","19","3.813","52.6","5.3","10.5",".",".",".","",".",".","",".",".",".","",".","",".",".","31.6","."
"Graduate","","96","3.962","33.3","1.0",".",".",".",".","",".","39.6","",".","26.0",".","",".","",".",".",".","."
"Prof Yr 2","","158","3.690","61.4","5.7","25.9",".",".",".","",".",".","",".","6.3",".","",".","",".",".",".","0.6"
"Prof Yr 3","","3","4.000","66.7",".",".",".",".",".","",".","33.3","",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","19","3.971","84.2","5.3",".",".",".",".","",".","10.5","",".",".",".","",".","",".",".",".","."
"Professionals","","180","3.737","63.9","5.6","22.8",".",".",".","",".","1.7","",".","5.6",".","",".","",".",".",".","0.6"
"","Dept. Total","394","3.735","57.1","5.6","15.2","0.5","0.3","0.3","",".","10.4","",".","8.9",".","",".","",".",".","1.5","0.3"
