"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"271
Engr Problem Solving I","001","","20","3.125","20.0","5.0","60.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"305
Fundamentals-Nuclear Engr","001","","40","3.300","37.5","27.5","12.5","17.5",".","2.5","2.5",".",".",".",".",".",".",".",".","."
"373
Nuclear Energy & Envr","001","","7","3.500","57.1",".","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"406
Nuclear Reactor Analysis","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","22","2.818","9.1","22.7","18.2","40.9","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"423
Nuclear Engr Materials","001","","26","3.020","15.4","11.5","50.0","15.4",".",".","3.8",".",".",".",".",".",".",".","3.8","."
"427
Nuclear Instrumentation Lab","001","","17","3.382","23.5","41.2","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"428
Nuclear Reactor Laboratory","001","","7","3.071","14.3","14.3","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","23","3.565","43.5","26.1","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Adv Nuclear Power Engr","001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"602
Special Topics-Reactor Engr","001","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","3.647","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"724
Waves&Instabilities-Plasmas","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"890","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","28","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"903
Spec Topics-Plasma Physics","001","","11","3.550","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
