"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","173","3.683","70.5","8.7","13.3","3.5","2.3","0.6","0.6",".",".",".",".",".",".",".",".","0.6"
"Speech Science","201","001","64","3.055","15.6","37.5","18.8","7.8","15.6","4.7",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","83","3.663","61.4","21.7","9.6","2.4","4.8",".",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","191","3.426","51.8","9.4","23.0","5.8","6.3","2.6",".","1.0",".",".",".",".",".",".",".","."
"Speech Acoustics,Perception","303","001","71","3.782","70.4","21.1","7.0",".",".","1.4",".",".",".",".",".",".",".",".",".","."
"Speech Pathology I","315","001","80","3.681","52.5","37.5","5.0","3.8","1.3",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","45","3.578","44.4","33.3","17.8","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","390","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manually Coded English-SL I","424","001","38","3.770","68.4","15.8","10.5","2.6",".",".",".","2.6",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","76","3.474","36.8","30.3","25.0","6.6","1.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Com Dis","455","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang","503","001","34","3.676","55.9","23.5","20.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Graduate Study","702","001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","703","001","27","3.833","70.4","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Swallowing Disorders","707","001","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fluency&Phonological Disorders","708","001","27","3.704","40.7","59.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","14","3.897","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","40","3.936","92.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".","9.1",".",".",".","."
"Counseling in Audiology","834","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Research Methods","835","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Human Balance System","845","001","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Human Balance System: Lab","846","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Sci I: Basic Acoustics","850","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 185 of 407",""
