"AFRICAN LANGUAGES & LITERA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro-African Lang and Lit","201
001","112","3.554","47.3","36.6","9.8","2.7","0.9",".","2.7",".",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","289","2.943","23.2","12.5","29.8","14.2","13.8","3.5","2.4","0.3",".",".",".",".",".",".",".","0.3"
"Intro-Yoruba Life & Culture","230
001","21","3.571","61.9","19.0","14.3",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","80","3.338","33.8","26.3","25.0","11.3",".","3.8",".",".",".",".",".",".",".",".",".","."
"Intro-African Linguistics","301
001","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","18","3.344","33.3","22.2","11.1","16.7","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"","321
002","14","3.358","42.9","14.3","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","321
003","21","3.742","61.9","14.3","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","321
006","16","3.720","62.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","321
007","19","3.642","57.9","10.5","21.1","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","321
008","17","3.351","41.2","35.3","5.9",".","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","321
009","16","3.570","50.0","25.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester Arabic","Course Total","121","3.542","50.4","20.7","14.9","5.8","4.1","0.8",".","3.3",".",".",".",".",".",".",".","."
"","323
001","17","3.469","41.2","29.4","5.9","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","323
002","19","3.556","52.6","10.5","21.1","10.5",".",".",".","5.3",".",".",".",".",".",".",".","."
"","323
003","29","3.448","44.8","17.2","31.0","3.4",".","3.4",".",".",".",".",".",".",".",".",".","."
"Third Semester Arabic","Course Total","65","3.484","46.2","18.5","21.5","7.7","1.5","1.5",".","3.1",".",".",".",".",".",".",".","."
"","331
001","24","3.188","20.8","20.8","29.2","25.0",".",".",".",".",".",".",".",".",".",".",".","4.2"
"","331
002","21","3.500","23.8","57.1","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Swahili","Course Total","45","3.334","22.2","37.8","22.2","15.6",".",".",".",".",".",".",".",".",".",".",".","2.2"
"Third Semester Swahili","333
001","16","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"1st Sem-Lang-South Africa","335
001","9","3.607","66.7",".","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Xhosa","353
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
001","20","3.600","55.0","20.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","371
002","7","3.848","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Yoruba","Course Total","27","3.662","59.3","22.2","14.8",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Yoruba","373
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st Sem-Lang of West Africa","391
001","11","3.783","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Sem-Lang of West Africa","393
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"African Poetry","411
001","24","3.894","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Afrcn&Caribbn Drama","413
001","21","3.243","38.1","9.5","23.8","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Gr","435
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445
001","13","3.385","23.1","46.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Yoruba","475
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang and Society in Africa","500
001","27","3.962","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","669
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","669
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","669
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 154 of 407",""
