"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","370","2.736","15.1","11.6","26.8","13.8","25.9","4.3","1.9","0.3",".",".",".",".",".",".",".","0.3"
"132","002","","352","2.749","12.5","15.6","22.4","17.3","27.3","3.4","0.9","0.3",".",".",".",".",".",".",".","0.3"
"132","003","","155","2.685","12.3","14.2","18.1","10.3","36.1","1.9","1.3","5.2",".",".",".",".",".",".","0.6","."
"Nutrition Today","Course Total","","877","2.733","13.6","13.7","23.5","14.6","28.3","3.5","1.4","1.1",".",".",".",".",".",".","0.1","0.2"
"200
Prof-Dietetics & Nutrition","001","","148","",".",".",".",".",".",".",".",".",".","98.6","1.4",".",".",".",".","."
"299
Independent Study","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","81","3.049","17.3","30.9","21.0","13.6","14.8","1.2","1.2",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","61","3.279","29.5","32.8","21.3","3.3","9.8","3.3",".",".",".",".",".",".",".",".",".","."
"520","001","","21","3.405","23.8","38.1","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"520","002","","18","3.306","16.7","33.3","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Applications-Clin Nutrition","Course Total","","39","3.359","20.5","35.9","38.5","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Adv Nutrition: Minerals","001","","27","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","74","2.872","20.3","14.9","32.4","5.4","16.2","10.8",".",".",".",".",".",".",".",".",".","."
"691","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis-Nutrition","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","3.913","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","2","***","","","","","","","","","","","","","","","",""
"931
Seminar-Nutrition","001","","24","4.000","4.2",".",".",".",".",".",".","95.8",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"991","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 35 of 407"
