"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"948
Seminar-German Lit & Culture","001","8","3.714","62.5",".","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"970","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"970","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Smr-German Linguistics","Course Total","5","***","","","","","","","","","","","","","","","",""
"990","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit","Course Total","14","",".",".",".",".",".",".",".","64.3","7.1",".",".","21.4",".",".","7.1","."
"991","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Linguistc&Germanic Philolgy","Course Total","9","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"GERMAN
424","Dept. Total","838","3.584","56.1","18.4","14.6","2.0","2.9","0.6","1.2","2.6","0.1","0.1",".","1.1",".",".","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","210","3.595","54.3","21.0","18.6","2.4","2.4","0.5","0.5","0.5",".",".",".",".",".",".",".","."
"Sophomore","","171","3.596","56.1","23.4","13.5","2.3","3.5","0.6","0.6",".",".",".",".",".",".",".",".","."
"Junior","","130","3.547","56.9","14.6","20.8","1.5","3.1",".","2.3",".",".",".",".",".",".",".",".","0.8"
"Senior","","178","3.444","51.1","20.2","16.3","3.4","4.5","1.7","2.2","0.6",".",".",".",".",".",".",".","."
"Undergraduates","","689","3.549","54.4","20.2","17.1","2.5","3.3","0.7","1.3","0.3",".",".",".",".",".",".",".","0.1"
"Special","","19","3.373","47.4","26.3","5.3",".","5.3",".","5.3","5.3",".",".",".",".",".",".","5.3","."
"Graduate","","130","3.916","66.2","7.7","2.3",".",".",".",".","14.6","0.8","0.8",".","6.9",".",".","0.8","."
"","Dept. Total","838","3.584","56.1","18.4","14.6","2.0","2.9","0.6","1.2","2.6","0.1","0.1",".","1.1",".",".","0.2","0.1"
