"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","","148","3.486","51.4","19.6","16.2","4.1","6.8",".","1.4",".",".",".",".",".",".",".",".","0.7"
"","450
001","","40","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
002","","38","3.829","68.4","28.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
003","","20","3.700","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Agencies & Their Envir","Course Total","","98","3.750","58.2","33.7","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","","39","3.838","64.1","30.8",".",".",".",".",".","2.6",".",".",".",".",".","2.6",".","."
"","451
002","","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundatns of Reference Service","Course Total","","57","3.745","54.4","35.1","7.0",".",".",".",".","1.8",".",".",".",".",".","1.8",".","."
"Organization of Information","551
001","","40","3.650","40.0","55.0","2.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"History of Books&Print Culture","570
001","","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls","619
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Young Adult Literature","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Literacy Pedagogy","639
001","","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","642
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Interests of Adults","Course Total","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","644
001","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","645
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","645
002","","17","3.529","64.7","11.8","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","645
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intellectual Freedom&Libr","Course Total","","23","3.391","60.9","8.7","21.7",".",".",".","8.7",".",".",".",".",".",".",".",".","."
"Info Services Management","654
001","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","","27","3.815","63.0","37.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cyberlaw","663
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College & Univ Libraries","722
001","","13","3.423","23.1","38.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Archives Adm","734
001","","29","3.750","55.2","34.5","6.9",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"","751
001","","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Dsgn-Lib&Info Agency","Course Total","","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Info Agency Management","754
001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","772
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 249 of 407",""
