"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","91","3.951","92.3","5.5","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","91","3.857","87.9","4.4","4.4","2.2",".",".","1.1",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","182","3.904","90.1","4.9","3.3","1.1",".",".","0.5",".",".",".",".",".",".",".",".","."
"330
Behav Anal:Person-Disabilty","001","","28","3.808","75.0","10.7",".","3.6","3.6",".",".",".",".",".",".",".",".",".",".","7.1"
"469
Acad Instr:Learn & Behav Disab","001","","25","3.780","64.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"470
Indiv/Learn & Behav Disability","001","","27","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth&Curric:Lrn&Bhv Disabl,K-9","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"473
Mgmt: Stdts/Lrn&Bhv Disability","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"474
Diagnosis&Assessmt:Lrn&Bhv Dis","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"475","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"475","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"476","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"476","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"476","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Stdts/Lrn&Bhv Dis, 6-12","Course Total","","3","***","","","","","","","","","","","","","","","",""
"477","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"477","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"477","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"478","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"478","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","","2","***","","","","","","","","","","","","","","","",""
"500
Rehab-Cnslg Psych: Foundatn","001","","27","3.852","77.8","18.5",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Bio,Psych,&Voc Aspt-Disabil","001","","70","3.736","74.3","10.0","11.4","2.9",".",".","1.4",".",".",".",".",".",".",".",".","."
"540
Assessmnt Adults-Disablties","001","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Rehab Psych-Psycho-Soc Asp","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","019","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","020","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Special Topics","027","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
