"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","37","3.797","83.8","10.8",".","2.7",".",".","2.7",".",".",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","30","3.117","23.3","40.0","10.0","16.7","3.3",".","6.7",".",".",".",".",".",".",".",".","."
"332
Macroprocessing-Materials","001","","22","3.386","13.6","54.5","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","155","3.345","31.0","23.9","34.8","6.5","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"351
Struct&Property Rels-Solids","001","","20","2.925","20.0","15.0","35.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"360
Materials Laboratory I","001","","18","3.278","27.8","22.2","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"362
Materials Laboratory III","001","","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"401","003","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","10","3.917","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"423
Nuclear Engr Materials","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","18","3.222","55.6",".","22.2",".","16.7",".","5.6",".",".",".",".",".",".",".",".","."
"448
Crystallog & Xray Diffractn","001","","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"451
Intro to Ceramic Materials","001","","24","3.167","29.2","12.5","41.7","12.5",".",".","4.2",".",".",".",".",".",".",".",".","."
"474
Rock Mechanics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"570
Properties-Solid Surfaces","001","","18","3.676","50.0","33.3","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"752
Adv Matls Sci-Phase Transfm","001","","14","3.423","42.9","14.3","21.4","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"790","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","22","",".",".",".",".",".",".",".","81.8",".",".",".","18.2",".",".",".","."
"803","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","011","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"803","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","013","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","43","4.000","72.1",".",".",".",".",".",".","27.9",".",".",".",".",".",".",".","."
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 136 of 407",""
