"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","205","2.956","17.6","20.0","23.9","23.9","10.7","2.4","1.5",".",".",".",".",".",".",".",".","."
"","102
001","37","3.689","45.9","45.9","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","34","3.824","67.6","29.4","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","36","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","107","3.771","59.8","34.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
073","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","220","2.698","15.5","5.9","25.9","18.2","30.0","4.1","0.5",".",".",".",".",".",".",".",".","."
"","304
001","36","3.139","16.7","8.3","63.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"","304
002","36","3.153","22.2","8.3","52.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","304
003","32","3.000","9.4","6.3","68.8","6.3","9.4",".",".",".",".",".",".",".",".",".",".","."
"","004
304","38","3.224","34.2","7.9","39.5","5.3","13.2",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","142","3.134","21.1","7.7","55.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","324
001","18","3.556","38.9","38.9","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","325
001","39","2.936","12.8","17.9","33.3","20.5","12.8","2.6",".",".",".",".",".",".",".",".",".","."
"Microbial Genetics","370
001","29","3.310","55.2",".","31.0",".","6.9","3.4","3.4",".",".",".",".",".",".",".",".","."
"","375
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","35","3.971","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","53","3.170","26.4","15.1","34.0","15.1","9.4",".",".",".",".",".",".",".",".",".",".","."
"","527
001","10","3.400","40.0",".","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","527
002","14","3.179","28.6","7.1","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","527
003","15","3.367","26.7","26.7","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","Course Total","39","3.308","30.8","12.8","46.2","7.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"Immunology","528
001","70","3.014","25.7","8.6","44.3",".","14.3","2.9","2.9",".",".",".",".",".",".",".",".","1.4"
"Physiol Dvrsty-Procryot Lab","551
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Microbial Genetics","607
001","19","3.553","47.4","15.8","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","21","3.286","28.6","38.1","23.8",".",".","9.5",".",".",".",".",".",".",".",".",".","."
"Gen Virology-Multiplication","640
001","29","3.268","31.0","10.3","44.8","6.9",".","3.4",".","3.4",".",".",".",".",".",".",".","."
"","699
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
043","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 9 of 407"
