"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","103
001","366","2.941","27.6","12.6","27.9","6.3","16.7","7.1","1.9",".",".",".",".",".",".",".",".","."
"","103
002","377","2.956","23.9","12.5","30.8","8.5","19.6","3.7","1.1",".",".",".",".",".",".",".",".","."
"","103
003","345","3.014","19.7","16.2","33.9","17.4","8.7","3.2","0.9",".",".",".",".",".",".",".",".","."
"","103
004","352","2.974","23.3","13.9","31.3","9.4","17.0","3.4","1.4",".",".",".",".",".",".",".","0.3","."
"","005
103","362","3.261","37.6","16.6","25.1","6.9","11.9","1.4","0.6",".",".",".",".",".",".",".",".","."
"General Chemistry","Course Total","1802","3.029","26.5","14.3","29.7","9.6","14.9","3.8","1.2",".",".",".",".",".",".",".","0.1","."
"General Chemistry","104
001","333","2.584","13.8","3.9","37.8","6.0","25.2","10.5","2.7",".",".",".",".",".",".",".",".","."
"General Chemistry","108
001","165","2.960","24.8","12.7","33.9","8.5","10.9","5.5","3.0",".",".",".",".",".",".","0.6",".","."
"","109
001","290","3.178","26.2","21.0","23.4","22.1","6.6","0.7",".",".",".",".",".",".",".",".",".","."
"","109
002","257","3.160","24.1","23.7","21.8","22.2","7.4","0.8",".",".",".",".",".",".",".",".",".","."
"","109
003","141","3.287","33.3","24.1","23.4","9.2","8.5","0.7","0.7",".",".",".",".",".",".",".",".","."
"Advanced General Chemistry","Course Total","688","3.193","26.9","22.7","22.8","19.5","7.3","0.7","0.1",".",".",".",".",".",".",".",".","."
"Chemical Principles I","115
001","34","3.485","55.9","17.6","14.7","2.9","2.9","5.9",".",".",".",".",".",".",".",".",".","."
"","299
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
054","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","14","3.960","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","327
001","87","3.167","31.0","13.8","33.3","10.3","8.0","2.3","1.1",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","329
001","55","3.000","36.4","18.2","16.4","7.3","7.3","9.1","5.5",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry","341
001","132","2.695","13.6","11.4","31.1","17.4","15.2","6.1","4.5","0.8",".",".",".",".",".",".",".","."
"","342
001","9","3.278","22.2","22.2","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","342
002","13","3.038","15.4","23.1","23.1","30.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"","342
003","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","342
004","6","2.917","33.3","16.7","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"Organic Chemistry Lab","Course Total","36","3.153","22.2","22.2","33.3","13.9","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"","343
001","307","2.676","17.6","5.9","37.8","6.2","20.8","6.2","5.5",".",".",".",".",".",".",".",".","."
"","343
002","246","2.659","24.0","2.8","27.2","1.2","32.5","10.2","2.0",".",".",".",".",".",".",".",".","."
"","343
003","214","2.668","19.2","13.1","24.8","10.3","16.4","11.7","4.7",".",".",".",".",".",".",".",".","."
"","004
343","45","3.375","42.2","17.8","26.7","2.2","6.7",".","2.2",".",".",".",".",".",".",".",".","2.2"
"","343
005","225","2.587","25.8","2.2","20.9","5.8","29.8","11.1","4.4",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry","Course Total","1037","2.681","22.3","6.4","28.4","5.6","24.0","9.1","4.1",".",".",".",".",".",".",".",".","0.1"
"","344
001","17","3.147","17.6","29.4","23.5","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
002","16","3.281","12.5","43.8","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","344
003","16","3.281","18.8","37.5","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
004","12","3.167","16.7","25.0","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","344
005","17","3.265","17.6","29.4","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
006","15","3.367","26.7","40.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
007","10","3.050","30.0","20.0","20.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","344
008","14","3.214","14.3","35.7","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","009
344","12","3.292","25.0","41.7","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","344
010","11","3.318","18.2","36.4","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
