"","990
036","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
039","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
061","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","23","",".",".",".",".",".",".",".","95.7","",".",".",".","4.3","",".",".",".","."
"AN SCI
604","Dept. Total","449","3.239","42.1","15.8","16.9","8.9","7.1","3.1","0.9","4.9","",".",".",".","0.2","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","61","2.726","16.4","9.8","24.6","19.7","19.7","6.6","3.3",".","",".",".",".",".","",".",".",".","."
"Sophomore","","93","2.995","25.8","17.2","20.4","19.4","10.8","6.5",".",".","",".",".",".",".","",".",".",".","."
"Junior","","65","3.286","32.3","32.3","16.9","6.2","7.7","3.1","1.5",".","",".",".",".",".","",".",".",".","."
"Senior","","163","3.506","60.7","13.5","17.2","3.7","3.1","1.2","0.6",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","382","3.194","40.3","17.0","19.1","10.5","8.4","3.7","1.0",".","",".",".",".",".","",".",".",".","."
"Special","","3","3.571","66.7",".","33.3",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","68","3.840","54.4","8.8","2.9",".",".",".",".","32.4","",".",".",".","1.5","",".",".",".","."
"","Dept. Total","453","3.239","42.6","15.7","16.8","8.8","7.1","3.1","0.9","4.9","",".",".",".","0.2","",".",".",".","."
